Ticker,Description
MEGL,"Magic Empire Global Limited provides initial public offering sponsorship, financial and independent financial advisory, post-listing compliance advisory, and underwriting services to corporations in Hong Kong. The company was incorporated in 2016 and is headquartered in Central, Hong Kong."
PVH,"PVH Corp. operates as an apparel company worldwide. The company operates through six segments: Tommy Hilfiger North America, Tommy Hilfiger International, Calvin Klein North America, Calvin Klein International, Heritage Brands Wholesale, and Heritage Brands Retail. It designs, markets, and retails men's, women's, and children's apparel and accessories, including branded dress shirts, neckwear, sportswear, jeans wear, performance apparel, intimate apparel, underwear, swimwear, swim-related products, handbags, accessories, footwear, outerwear, home furnishings, luggage products, sleepwear, loungewear, hats, scarves, gloves, socks, watches and jewelry, eyeglasses and non-ophthalmic sunglasses, fragrance, home bed and bath furnishings, small leather goods, and other products. The company offers its products under its own brands, such as Tommy Hilfiger, Calvin Klein, Van Heusen, IZOD, ARROW, Warner's, Olga, Geoffrey Beene, and True&Co., as well as various other owned, licensed, and private label brands. It also licenses its own brands over various products. The company distributes its products at wholesale in department, chain, and specialty stores, as well as through warehouse clubs, mass market, and off-price and independent retailers; and through company-operated full-price, outlet stores, and concession locations, as well as through digital commerce sites. It markets its products to approximately 40 countries. PVH Corp. was founded in 1881 and is based in New York, New York."
CRNT,"Ceragon Networks Ltd. provides wireless backhaul and fronthaul solutions that enable cellular operators and other wireless service providers. Its solutions use microwave and millimeter wave radio technology to transfer telecommunication traffic between base stations, small/distributed cells, and the core of the service provider's network. The company also uses microwave technology for ultra-high speed, ultra-low latency communication for wireless 5G and 4G, 3G, and other cellular base stations. In addition, it provides IP-20 all-outdoor solutions, such as IP-20C, IP-20C-HP, IP-20S, IP-20E, and IP-20V; IP-20 split-mount/all-indoor solutions comprising IP-20N/IP-20A, IP-20F, and IP-20G; and IP-50 disaggregated solutions, including IP-50E, IP-50C, IP-50S, and IP-50FX for various short-haul, long-haul, fronthaul, and enterprise access applications. Further, the company offers network management system; and network and radio planning, site survey, solutions development, installation, network auditing and optimization, maintenance, training, and other services. It provides its services to oil and gas companies; public safety organizations; business and public institutions; broadcasters; energy utilities; and private communications networks. The company sells its products through direct sales, original equipment manufacturers, distributors, and system integrators. It operates in North America, Europe, Africa, the Asia Pacific, the Middle East, India, and Latin America. The company was formerly known as Giganet Ltd. and changed its name to Ceragon Networks Ltd. in September 2000. Ceragon Networks Ltd. was incorporated in 1996 and is headquartered in Rosh HaAyin, Israel."
GENE,"Genetic Technologies Limited, a molecular diagnostics company, provides predictive genetic testing and risk assessment tools to help physicians manage people's health in the United States, Canada, Europe, the Middle East, Africa, Latin America, and the Asia Pacific. It operates in two segments, EasyDNA and GeneType/Corporate. The company offers BREVAGenplus, a clinically validated risk assessment test for non-hereditary breast cancer. It also markets BREVAGenplus to healthcare professionals in breast health care and imaging centers, as well as to obstetricians/gynecologists and breast cancer risk assessment specialists, such as breast surgeons. In addition, the company offers various cancer risk assessment tests under the GeneType for Colorectal Cancer and GeneType for Breast Cancer brand names; and develops other risk assessment tests across a range of diseases, which include colorectal cancer, ovarian cancer, prostate cancer, coronary artery, and type 2 diabetes. Further, it offers genetic testing services, including medical, animal, forensic, and plant testing. The company has research and collaboration agreements with the University of Melbourne, Translational Genomics Research Institute, Memorial Sloan Kettering New York Cambridge University, the Ohio State University, and Shivom. Genetic Technologies Limited was incorporated in 1987 and is headquartered in Fitzroy, Australia."
IMUX,"Immunic, Inc., a clinical-stage biopharmaceutical company, develops a pipeline of selective oral immunology therapies for the treatment of chronic inflammatory and autoimmune diseases. Its lead development program is IMU-838, which is in Phase 2 clinical for treatment of relapsing-remitting multiple sclerosis, inflammatory bowel disease, and other chronic inflammatory and autoimmune diseases, as well as to treat coronavirus disease. The company is also developing IMU-935, an inverse agonist of ROR?t; and IMU-856 for the restoration of the intestinal barrier function in patients suffering from diseases, such as inflammatory bowel disease, irritable bowel syndrome with diarrhea, immune checkpoint inhibitor induced colitis, and other intestinal barrier function diseases. Immunic, Inc. is headquartered in New York, New York."
MCG,"Membership Collective Group Inc. operates a global membership platform of physical and digital spaces that connects members worldwide. The company's members use the MCG platform to work and socialize, connect, create, and have fun. As of January 2, 2022, it served approximately 155,800 members through a portfolio of 33 Soho Houses, 9 Soho Works clubs, The Ned in London, Soho Home, and Scorpios Beach Club in Mykonos, as well as digital channels. The company was founded in 1995 and is headquartered in New York, New York."
IFBD,"Infobird Co., Ltd, through its subsidiaries, operates as a software-as-a-service (SaaS) provider of artificial intelligence (AI) enabled customer engagement solutions in the People's Republic of China. It offers customer relationship management cloud-based services, such as SaaS and business process outsourcing services to its clients. The company also provides AI-powered cloud-based sales force management software, including intelligent quality inspection and intelligent training software to enable its clients to monitor, benchmark, and enhance the performances of agents; consumer product and retail store digitalization solutions; and other services, including software license selling, data analysis, and other professional services. It serves corporate clients in the finance, education, public services, healthcare, and consumer products industries. The company was incorporated in 2020 and is based in Beijing, the People's Republic of China."
JZ,"Jianzhi Education Technology Group Company Limited develops and provides educational content products and IT services to higher education institutions in China. The company designs and develops customized IT system services. It also offers procurement and assembling services for equipment; digital content for vocational training; and educational resources and course content, as well as technological support and maintenance services. In addition, the company provides mobile media services, including mobile media advertising, mobile application content data business system, and Wo reading services. The company was founded in 2011 and is based in Beijing, China."
DGLY,"Digital Ally, Inc. produces and sells digital video imaging, storage, and disinfectant and related safety products for use in law enforcement, security, and commercial applications in the United States and internationally. It operates through Video Solutions, Revenue Cycle Management, and Ticketing segments. The company offers in-car digital video mirror systems for law enforcement; in-car digital video event recorder systems for commercial fleets; a suite of data management web-based tools to assist fleet managers in the organization, archival, and management of videos and telematics information; miniature body-worn digital video systems for law enforcement and private security; and VuLink, an in-car device that enables an in-car digital audio/video system and a body worn digital audio/video camera system to automatically and simultaneously start recording. It also provides VuVault and EVO Web, a cloud-based evidence management system; FleetVU Manager, a web-based software for commercial fleet tracking and monitoring; ThermoVu, a non-contact temperature-screening instrument that measures temperature through the wrist and controls entry to facilities when temperature measurements exceed pre-determined parameters; and Shield disinfectants and cleansers, as well as other personal protective equipment and supplies, such as masks, gloves, sanitizer wipes, and electrostatic sprayer to health care workers and other consumers. In addition, the company offers working capital and back-office services, including insurance and benefit verification, medical treatment documentation and coding, and collections to healthcare organizations; and operates TicketSmarter.com, an online ticketing marketplace for ticket sales, partnerships, and ticket resale services for live events, including concerts, sporting events, theatres, and performing arts. Digital Ally, Inc. was founded in 2004 and is headquartered in Lenexa, Kansas."
CVKD,"Cadrenal Therapeutics, Inc. operates as a clinical development biopharmaceutical company. The company focuses on developing Tecarfarin, a novel therapy with orphan drug indication for the prevention of systemic thromboembolism of cardiac origin in patients with end-stage renal disease and atrial fibrillation. The company was incorporated in 2022 and is headquartered in Ponte Vedra, Florida."
KORE,"KORE Group Holdings, Inc. provides Internet of Things (IoT) services and solutions worldwide. It offers connectivity, location-based, device solutions, and managed and professional services that are used in the development and support of IoT technology for the Machine-to-Machine market. The company provides Connectivity-as-a-Service; IoT solutions and analytics to fleet tracking companies; and asset monitoring, communications, and industrial IoT services. It serves customers operating in a range of sectors, including healthcare, fleet and vehicle management, asset management, communication services, and industrial/manufacturing. The company was founded in 2002 and is headquartered in Alpharetta, Georgia."
AIRS,"AirSculpt Technologies, Inc., together with its subsidiaries, focuses on operating as a holding company for EBS Intermediate Parent LLC that provides body contouring procedure services in the United States. It offers custom body contouring using its AirSculpt procedure that removes unwanted fat in a minimally invasive procedure. The company provides fat removal procedures across treatment areas; and fat transfer procedures that use the patient's own fat cells to enhance the breasts, buttocks, hips, or other areas. Its body contouring procedures also include the Power BBL, a Brazilian butt lift procedure; the Up a Cup, a breast enhancement procedure; and the Hip Flip, an hourglass contouring procedure. As of March 10, 2022, it operated 19 centers across 15 states. AirSculpt Technologies, Inc. was founded in 2012 and is headquartered in Miami Beach, Florida."
RILY,"B. Riley Financial, Inc., through its subsidiaries, provides investment banking and financial services to corporate, institutional, and high net worth clients in North America, Australia, and Europe. The company operates in six segments: Capital Markets, Wealth Management, Auction and Liquidation, Financial Consulting, Principal InvestmentsCommunications, and Brands. The Capital Markets segments offers investment banking, corporate finance, financial advisory, research, securities lending and sales, and trading services; merger and acquisitions, restructuring advisory, initial and secondary public offerings, and institutional private placements services; asset management services; and trades in equity securities. The Wealth Management segment provides wealth management and tax services. The Auction and Liquidation Segment offers retail store liquidation, and wholesale and industrial assets disposition services. The Financial Consulting segment provides bankruptcy, forensic accounting, litigation support, operations management and real estate consulting, and valuation and appraisal services. The Principal InvestmentsCommunications segment provides consumer Internet access through United Online under the NetZero and Juno brands; VoIP communication and related products, and subscription services through magicJack; and mobile phone services and devices through Marconi Wireless. The Brands segments provides licensing of a brand investment portfolio, including Catherine Malandrino, English Laundry, Joan Vass, Kensie Girl, Limited Too, and Nanette Lepore. It also offers advisory services; brokerage services; senior secured and second lien secured loans to middle market public and the private U.S. companies; and consulting services. The company was formerly known as Great American Group, Inc. and changed its name to B. Riley Financial, Inc. in November 2014. The company was founded in 1973 and is headquartered in Los Angeles, California."
GIII,"G-III Apparel Group, Ltd. designs, sources, and markets women's and men's apparel in the United States and internationally. The company operates through two segments, Wholesale Operations and Retail Operations. Its products include outerwear, dresses, sportswear, swimwear, women's suits, and women's performance wear; and women's handbags, footwear, small leather goods, cold weather accessories, and luggage. The company markets apparel and other products under the proprietary brand names, including DKNY, Donna Karan, Vilebrequin, Eliza J, Jessica Howard, Andrew Marc, Marc New York, Sonia Rykiel, Black Rivet, G-III Sports by Carl Banks, and G-III for Her; and licensed brands, such as Calvin Klein, Tommy Hilfiger, Karl Lagerfeld Paris, Levi's, Guess?, Kenneth Cole, Cole Haan, Vince Camuto, and Dockers. It has licenses with the National Football League, Major League Baseball, National Basketball Association, Major League Baseball, and National Hockey League, as well as approximately 150 U.S. colleges and universities. The company offers its products to department, specialty, and mass merchant retail stores. As of January 31, 2022, it operated 96 Vilebrequin retail stores; 60 DKNY and Karl Lagerfeld Paris stores; and 26 DKNY stores. The company also sells its products online. G-III Apparel Group, Ltd. was founded in 1956 and is headquartered in New York, New York."
ELYS,"Elys Game Technology, Corp. provides business-to-consumer gaming services in the United States and Europe. The company offers betting platform software services to leisure betting establishments; and operates web based and land-based leisure betting establishments. Its gaming product offerings include sports betting; and online casino, such as online slot and table games, poker, bingo, skilled and interactive games, virtual sports betting, and horse racing. The company provides its products through physical, land-based retail locations; newgioco.it or commercial webskins linked to its website; and mobile devices. It serves approximately 98,000 online user accounts through approximately 1,300 web-shops; 44 corners; and 1 land based shop. The company was formerly known as Newgioco Group, Inc. and changed its name to Elys Game Technology, Corp. in November 2020. Elys Game Technology, Corp. was incorporated in 1998 and is based in Toronto, Canada."
ABSI,"Absci Corporation, a drug and target discovery company, provides biologic drug candidates and production cell lines using integrated drug creation platform for partners in the United States. Its integrated drug creation platform enables the creation of biologics by unifying the drug discovery and cell line development processes into one process. Absci Corporation was founded in 2011 and is headquartered in Vancouver, Washington."
DPSI,"Decisionpoint Systems, Inc. provides and integrates enterprise mobility and wireless applications solutions that delivers improved productivity and operational advantages to its clients by helping to move business decision points closer to its customers. It makes enterprise software applications accessible to the front-line worker anytime, anywhere. The company utilizes wireless, mobility, and RFID technologies. It sells, installs, deploys, and repairs mobile computing and wireless systems, such as mobile computers and application software; and related data capture equipment, including bar code scanners and radio frequency identification readers for the retail, warehousing and distribution, healthcare, wholesale distribution, and field sales and service industries. The company also offers lifecycle management, and project management and deployment services; and managed services, such as consulting, technology acquisition, project management, software integration and development, deployment, repair services, service desk, and reverse logistics and end of life disposal services, as well as OnPoint Service Hub, a customer service portal that provides customers real-time asset management and tracking information. In addition, it provides MobileConductor, a software platform that provides complete in-vehicles solutions; VizeTrace, a software platform that manages RFID installations; and custom software development services, as well as resells specialized independent software vendors applications. The company is headquartered in Laguna Hills, California."
HAIN,"The Hain Celestial Group, Inc. manufactures, markets, and sells organic and natural products in United States, United Kingdom, and internationally. It operates through two segments, North America and International. The company offers infant formula; infant, toddler, and kids' food; plant-based beverages and frozen desserts, such as soy, rice, oat, almond, and coconut; and condiments. It also provides cooking and culinary oils; cereal bars; canned, chilled fresh, aseptic, and instant soups; yogurts, chilis, chocolate, and nut butters; and juices. In addition, the company offers hot-eating desserts, cookies, refrigerated and frozen plant-based meat-alternative products, jams, fruit spreads, jellies, honey, natural sweeteners, and marmalade products, as well as other food products. Further, it provides snack products comprising potato, root vegetable and other exotic vegetable chips, straws, tortilla chips, whole grain chips, pita chips, and puffs; and personal care products that include hand, skin, hair, and oral care products, as well as deodorants, baby food, body washes, sunscreens, and lotions under the Alba Botanica, Avalon Organics, Earth's Best, JASON, Live Clean, and Queen Helene brands name. Additionally, the company offers herbal, green, black, wellness, rooibos, and chai tea under the Celestial Seasonings brand. It sells pantry products under the Spectrum, Spectrum Essentials, MaraNatha, Imagine broths, Hain Pure Foods, Health Valley, and Hollywood brands. It sells its products through specialty and natural food distributors, supermarkets, natural food stores, mass-market and e-commerce retailers, food service channels and clubs, and drug and convenience stores in approximately 80 countries worldwide. The company was incorporated in 1993 and is headquartered in Lake Success, New York."
AUR,"Aurora Innovation, Inc. operates as a self-driving technology company in the United States. It focuses on developing Aurora Driver, a platform that brings a suite of self-driving hardware, software, and data services together to adapt and interoperate passenger vehicles, light commercial vehicles, and trucks. The company was founded in 2017 and is headquartered in Pittsburgh, Pennsylvania."
SONN,"Sonnet BioTherapeutics Holdings, Inc., a clinical stage oncology-focused biotechnology company, develops platform for biologic medicines of single or bispecific action. The company develops fully human albumin binding technology, which utilizes human single chain antibodies fragment that binds to and hitch-hikes on human serum albumin for transport to target tissues. Its lead product candidate is SON-1010, a fully human version of interleukin 12 for the treatment non-small cell lung cancer, and head and neck cancer and is under phase 1 trial. The company is also developing SON-080, a fully human version of interleukin 6 for chemotherapy-induced peripheral neuropathy and diabetic peripheral neuropathy and is under Phase Ib/IIa study; and SON-1210, a bispecific compound developed for solid tumor indications, including colorectal cancer. It has a license agreement with New Life Therapeutics Pte, LTD. to develop and commercialize pharmaceutical preparations containing a specific recombinant human interleukin-6. The company is headquartered in Princeton, New Jersey."
PSNL,"Personalis, Inc. operates as a cancer genomics company worldwide. The company provides sequencing and data analysis services to support the development of cancer therapies and large-scale genetic research programs. It offers NeXT Platform, which provides data analysis for tumor and its immune microenvironment, from a single limited tissue or plasma sample; ImmunoID Next for tumor profiling from tissue; NeXT Liquid Biopsy for tumor profiling from plasma; NeXT Personal, a liquid biopsy offering for personalized tumor tracking for patients; NeXT Dx Test, a genomic cancer profiling test enabling composite biomarkers for cancer treatment; and NeXT SHERPA and NeXT NEOPS for neoantigen prediction capabilities. The company also provides ACE platform for clinical and therapeutic applications such as neoantigen prediction, biomarker identification, and novel drug target selection. It serves biopharmaceutical customers, universities, non-profits, and government entities. The company has partnership with Mayo Clinic; MapKure, LLC; SpringWorks Therapeutics, Inc.; and Moores Cancer Center. Personalis, Inc. was incorporated in 2011 and is headquartered in Menlo Park, California."
CDIO,"Cardio Diagnostics Holdings, Inc., a biotechnology company, develops and commercializes epigenetics-based clinical tests for cardiovascular disease. It offers Epi+Gen, a three-year symptomatic coronary heart disease (CHD) risk assessment test targeting CHD events, including heart attacks. The company was founded in 2017 and is headquartered in Chicago, Illinois."
MHH,"Mastech Digital, Inc., together with its subsidiaries, provides digital transformation IT services to large, medium-sized, and small companies in the United States. It operates through two segments, Data and Analytics Services, and IT Staffing Services. The company offers data management and analytics services, including project-based consulting services in the areas of master data management, enterprise data integration, big data and analytics, and digital transformation by using onsite and offshore resources. It also provides a range of IT staffing services in the areas of data management and analytics, cloud, mobility, social, automation, business intelligence/data warehousing, web services, enterprise resource planning and customer resource management, and e-business solutions. In addition, the company offers digital transformation services, such as digital learning services; and cloud-based enterprise application across sales, marketing, and customer service organizations. It provides its services across various industry verticals, including financial services, government, healthcare, manufacturing, retail, technology, telecommunications, and transportation. The company was formerly known as Mastech Holdings, Inc. and changed its name to Mastech Digital, Inc. in September 2016. Mastech Digital, Inc. was founded in 1986 and is headquartered in Pittsburgh, Pennsylvania."
WIMI,"WiMi Hologram Cloud Inc. provides augmented reality (AR) based holographic services and products in China. It operates in three segments: AR Advertising Services, AR Entertainment, and Semiconductor Related Products and Services. The company primarily offers holographic AR advertising services and holographic AR entertainment products. Its holographic AR advertising software enables users to insert into video footages real or animated three-dimensional objects; and online holographic AR advertising solution embeds holographic AR ads into films and shows. The company's holographic AR entertainment products consist primarily of payment middleware software, game distribution platform, and holographic mixed reality software. In addition, it engages in the provision of central processing algorithm services, and provides computer chip products to enterprise customers, as well as sells comprehensive solutions for central processing algorithms and related services with software and hardware integration. Further, the company's holographic AR technologies are used in software engineering, content production, cloud, and big data. WiMi Hologram Cloud Inc. was founded in 2015 and is headquartered in Beijing, the People's Republic of China."
MYSZ,"My Size, Inc. develops and commercializes mobile device measurement solutions for e-commerce fashion/apparel, shipping/parcel, and do it yourself industries in Israel. It offers MySizeID, an application that enables consumers to create an online profile of their personal measurements to get the right fit; BoxSize, a parcel measurement application that allows customers to measure the size of their parcel with their smartphone, calculate shipping costs, and arrange for a convenient pick-up time for the package; SizeUp app, which allows users to utilize their smartphone as a tape measure; and SizeIT, a smart measuring tape SDK that provides users with the ability to instantly and accurately measure objects with a quick movement of their mobile device. The company was formerly known as Knowledgetree Ventures, Inc. and changed its name to My Size, Inc. in January 2014. My Size, Inc. was incorporated in 1999 and is headquartered in Airport City, Israel."
SWVL,"Swvl Holdings Corp. provides mass transit ridesharing services. It offers B2C Swvl Retail, which provides riders with a network of minibuses and other vehicles running on fixed or semi-fixed routes within cities; Swvl Travel that allows riders to book rides on long-distance intercity routes on vehicle available through the Swvl platform or through third-party services; and Swvl Business, a transport as a service enterprise product for businesses, schools, municipal transit agencies, and other customers. The company was incorporated in 2017 and is headquartered in Dubai, the United Arab Emirates."
HOV,"Hovnanian Enterprises, Inc. designs, constructs, markets, and sells residential homes in the United States. It offers single-family detached homes, attached townhomes and condominiums, urban infill, and active lifestyle homes with amenities, such as clubhouses, swimming pools, tennis courts, tot lots, and open areas. The company markets and builds homes for first-time buyers, first-time and second-time move-up buyers, luxury buyers, active lifestyle buyers, and empty nesters. It also provides mortgage loans and title insurance services. The company was founded in 1959 and is headquartered in Matawan, New Jersey."
TRVG,"trivago N.V., together with its subsidiaries, operates a hotel and accommodation search platform in the United States, Germany, the United Kingdom, and internationally. It offers an online meta-search for hotels and accommodation through online travel agencies, hotel chains, and independent hotels. The company provides access to its platform through 53 localized websites and apps in 31 languages. As of December 31, 2021, its hotel search platform offered access to approximately 5.0 million hotels and other types of accommodation worldwide. The company was incorporated in 2005 and is headquartered in Dusseldorf, Germany. trivago N.V. is a subsidiary of Expedia Lodging Partner Services Sarl."
BTCS,"BTCS Inc. focuses on digital assets and blockchain technologies. The company secures disruptive next-generation blockchains and operates validator nodes on various proof of stake-based blockchain networks. It also develops a proprietary Digital Asset Platform that allows users to evaluate their crypto portfolio holdings across multiple exchanges and chains on a single platform. The company was formerly known as Bitcoin Shop, Inc. and changed its name to BTCS Inc. in July 2015. BTCS Inc. was founded in 2013 and is based in Silver Spring, Maryland."
EIGR,"Eiger BioPharmaceuticals, Inc., a commercial-stage biopharmaceutical company, focuses on the development and commercialization of targeted therapies for rare and ultra-rare diseases in the United States and internationally. Its lead product candidate is Lonafarnib, an orally bioavailable, small molecule, which is in Phase III clinical trials to treat hepatitis delta virus infection. The company's product candidate also include Lambda, which targets type III interferon receptors that has completed Phase II clinical trials; Lonafarnib for the treatment of progeria and progeroid laminopathies; and Avexitide for the treatment of congenital hyperinsulinism, as well as has completed Phase II clinical trials to treat post-bariatric hypoglycemia. Eiger BioPharmaceuticals, Inc. was founded in 2008 and is headquartered in Palo Alto, California."
RAMP,"LiveRamp Holdings, Inc., a technology company, provides enterprise data connectivity platform solutions in the United States, Europe, and the Asia-Pacific. The company offers RampID, a true people-based identifier; Safe Haven, an enterprise data enablement platform; LiveRamp Data Marketplace, a solution that seamlessly connects data owners' audience data across the marketing ecosystem; and AbiliTec, an offline identity resolution platform. It serves financial, insurance and investment services, retail, automotive, telecommunications, high tech, consumer packaged goods, healthcare, travel, entertainment, non-profit, and government industries. The company was formerly known as Acxiom Holdings, Inc. and changed its name to LiveRamp Holdings, Inc. in October 2018. LiveRamp Holdings, Inc. was incorporated in 2018 and is headquartered in San Francisco, California."
AREC,"American Resources Corporation engages in the extraction, processing, transportation, distribution, and sale of metallurgical coal to the steel industries. The company supplies raw materials; and sells coal used in pulverized coal injections. It has a portfolio of operations located in the Pike, Knott, and Letcher Counties in Kentucky; and Wyoming County, West Virginia. American Resources Corporation was founded in 2006 and is headquartered in Fishers, Indiana."
TENX,"Tenax Therapeutics, Inc., a specialty pharmaceutical company, engages in identifying, developing, and commercializing products for cardiovascular and pulmonary diseases in the United States and Canada. It develops TNX-103 and TNX-102 (levosimendan) that have completed phase II clinical trials for the treatment of patients with pulmonary hypertension associated with heart failure with preserved ejection fraction and associated pulmonary hypertension; and TNX-201 (imatinib), a tyrosine kinase inhibitor for the treatment of pulmonary arterial hypertension. The company was formerly known as Oxygen Biotherapeutics, Inc. and changed its name to Tenax Therapeutics, Inc. in September 2014. Tenax Therapeutics, Inc. was founded in 1967 and is headquartered in Morrisville, North Carolina."
BCLI,"Brainstorm Cell Therapeutics Inc., a biotechnology company, engages in the development and commercialization of autologous cellular therapies for the treatment of neurodegenerative diseases. The company, through its NurOwn proprietary cell therapy platform, leverages cell culture methods to induce autologous bone marrow-derived mesenchymal stem cells to secrete high levels of neurotrophic factors, modulate neuroinflammatory and neurodegenerative disease processes, promote neuronal survival, and enhance neurological function. It is developing NurOwn, which has completed Phase III clinical trial for the treatment of amyotrophic lateral sclerosis; and Phase II clinical trial for the treatment of progressive multiple sclerosis and alzheimer's disease, as well as for other neurodegenerative diseases. The company has a partnership with Catalent for manufacturing NurOwn. The company was formerly known as Golden Hand Resources Inc. and changed its name to Brainstorm Cell Therapeutics Inc. in November 2004. Brainstorm Cell Therapeutics Inc. was incorporated in 2000 and is headquartered in New York, New York."
EDBL,"Edible Garden AG Incorporated, together with its subsidiaries, operate as a controlled environment agriculture farming company. It offers various packaged products, including cilantro, rosemary, mint, thyme, oregano, bay leaves, chives, poultry mix, sage, dill, buttercrunch living lettuce, basil, living butterhead lettuce, basil, parsley, arugula spring mix, baby arugula blend, baby romaine, and crisp ranch and Caesar salad kits. The company sells its products to various regional and national supermarkets. Edible Garden AG Incorporated was founded in 2020 and is based in Belvidere, New Jersey."
WE,"WeWork Inc. provides flexible workspace solutions to individuals and organizations worldwide. The company offers workstation, private office, and customized floor solutions; and various amenities and services, such as private phone booths, internet, high-speed business printers and copiers, mail and package handling, front desk services, off-peak building access, common areas, and daily enhanced cleaning solutions. It also offers various value-add services; business and technical service solutions, including professional employer organization and payroll services, remote workforce solutions, human resources benefits, dedicated bandwidth, and IT equipment co-location solutions. In addition, the company offers workspace management solutions, which enable landlords and operators to power flexible spaces and provide direct access to an established customer base. As of December 31, 2021, its real estate portfolio includes 756 locations. WeWork Inc. was founded in 2010 and is headquartered in New York, New York."
CPTN,"Cepton, Inc. provides lidar-based solutions for automotive, smart cities, smart spaces, and smart industrial applications in the United States, Japan, and internationally. The company offers auto grade lidar sensors, including Vista-X, a compact lidar solution with a range of up to 200m for long-range applications in ADAS L2+/L3, AV L4/L5, and suitable for smart infrastructure applications; Vista-T, a lidar solution with a range of up to 300m for ultra-long-range applications in ADAS L2+/L3 and AV L4/L5; and Nova, an ultra-small form factor lidar solution with a range of up to 30m for near-range applications in ADAS L2+/L3, AV L4/L5, and suitable for smart infrastructure applications. It also provides industrial grade lidar sensors, such as Vista-P, a compact lidar solution with a range of up to 200m for long-range applications in ADAS L2+/L3, AV L4/L5, and smart infrastructure applications; and Sora-P, an ultra-high scan rate, compact, and quasi line-scanning lidar solution that delivers high-fidelity profiling of objects moving at high speeds for free flow tolling and other industrial applications. The company was founded in 2016 and is headquartered in San Jose, California."
AVTX,"Avalo Therapeutics, Inc., a clinical-stage precision medicine company, discovers, develops, and commercializes targeted therapeutics for patients with unmet clinical need in immunology, immuno-oncology, and rare genetic diseases. It develops AVTX-002, a fully human anti-LIGHT monoclonal antibody, which is under Phase II clinical trial for the treatment of non-eosinophilic asthma, as well as inflammatory bowel disease, including moderate to severe Crohn's disease, and ulcerative colitis; and Phase III clinical trial for the treatment of COVID-19 acute respiratory distress syndrome. The company also engages in developing AVTX-007, a fully human Anti-IL-18 monoclonal antibody that is under Phase I clinical trial for the treatment of still's disease, including adult-onset still's disease and systemic juvenile idiopathic arthritis. Its products for rare genetic diseases in Phase III clinical trials include AVTX-801, a D-galactose substrate replacement therapy for the treatment of phosphoglucomutase 1 deficiency (PGM1), also known as PGM1-CDG; and AVTX-803, a L-fucose substrate replacement therapy for the treatment of LADII, also known as SLC35C1-CDG. The company was formerly known as Cerecor Inc. and changed its name to Avalo Therapeutics, Inc. in August 2021. Avalo Therapeutics, Inc. was incorporated in 2011 and is headquartered in Rockville, Maryland."
EMBK,"Embark Technology, Inc. develops self-driving software solutions for the trucking industry in the United States. Its solutions include Embark Driver, an autonomous trucking software; Embark Universal Interface, an interoperable self-driving stack that works across truck OEM platforms; and Embark Guardian, a cloud-based autonomous fleet management solution that gives carriers control over air updates, remote vehicle monitoring, remote vehicle assist, dispatching and access to real time data, such as weather and construction. The company was incorporated in 2016 and is headquartered in San Francisco, California."
BKH,"Black Hills Corporation, through its subsidiaries, operates as an electric and natural gas utility company in the United States. It operates in two segments, Electric Utilities and Gas Utilities. The Electric Utilities segment generates, transmits, and distributes electricity to approximately 218,000 electric utility customers in Colorado, Montana, South Dakota, and Wyoming; and owns and operates 1,481.5 megawatts of generation capacity and 8,892 miles of electric transmission and distribution lines. The Gas Utilities segment distributes natural gas to approximately 1,094,000 natural gas utility customers in Arkansas, Colorado, Iowa, Kansas, Nebraska, and Wyoming; owns and operates 4,732 miles of intrastate gas transmission pipelines; 41,644 miles of gas distribution mains and service lines; six natural gas storage sites; and approximately 50,000 horsepower of compression and 515 miles of gathering lines. The company also constructs and maintains gas infrastructure facilities for gas transportation customers; and provides appliance repair services to residential utility customers, as well as electrical system construction services to large industrial customers. In addition, it produces electric power through wind, natural gas, and coal-fired generating plants; and coal at its coal mine located near Gillette, Wyoming. The company was incorporated in 1941 and is headquartered in Rapid City, South Dakota."
JKHY,"Jack Henry & Associates, Inc., a financial technology company that connects people and financial institutions through technology and services that reduce the barriers to financial health. It operates through four segments: Core, Payments, Complementary, and Corporate and Other. The company offers information and transaction processing solutions for banks ranging from community to multi-billion-dollar asset institutions under the Jack Henry Banking brand; core data processing solutions for various credit unions under the Symitar brand; and specialized financial performance, imaging and payments processing, information security and risk management, retail delivery, and online and mobile solutions to financial institutions and corporate entities under the ProfitStars brand. It also provides a suite of integrated applications required to process deposit, loan, and general ledger transactions, as well as to maintain centralized customer/member information; and complementary products and services that enable core bank and credit union clients to respond to evolving customer/member demands. The company's Jack Henry Banking business brand offers SilverLake, a robust primarily designed for commercial-focused banks; CIF 20/20, a parameter-driven, easy-to-use system for banks; and Core Director, a cost-efficient system with point-and-click operation. Its Symitar business brand provides Episys, a robust designed for credit unions. In addition, the company offers digital products and services and electronic payment solutions; purchases and resells hardware systems, including servers, workstations, scanners, and other devices; and provides implementation, training, and support services. Jack Henry & Associates, Inc. was founded in 1976 and is headquartered in Monett, Missouri."
