Ticker,Company,Sector,Industry,Country,Description
FORA,Forian Inc.,Healthcare,Health Information Services,USA,"Forian Inc. provides software solutions, proprietary data driven insights, and predictive analytics to optimize the operational, clinical, and financial performance of its healthcare, cannabis, and government customers. It operates through three segments: Information & Software, Services, and Other. The company's products include BioTrack, a vertically integrated point of sale, manufacturing, delivery, and cultivator software solution for dispensaries, cultivators, manufacturers, and distributors; and Cannalytics, a Software as a Service based analytics solution that provides clients with a presentation of business performance. Its products also comprise BioTrack seed-to-sale compliance traceability platform, which is used to manage the tracking and tracing of various cannabis products from cultivation to sale; BioTrack State Traceability & Enforcement Monitoring System to ensure transparency and accountability throughout cannabis supply chain; and STEMS, a seed-to-sale tracking module, to provide cannabis program management solution to cannabis regulatory agencies. In addition, the company offers security monitoring and web marketing services. The company is headquartered in Newtown, Pennsylvania."
FWBI,"First Wave BioPharma, Inc.",Healthcare,Biotechnology,USA,"First Wave BioPharma, Inc., a clinical-stage biopharmaceutical company, engages in the research and development of targeted and non-systemic therapies for the treatment of patients with gastrointestinal diseases. Its product candidates include niclosamide, an oral small molecule with anti-viral and anti-inflammatory properties; and the biologic adrulipase, a recombinant lipase enzyme designed to enable the digestion of fats and other nutrients. The company develops FW-COV, which is in Phase II clinical trials for the treatment of severe acute respiratory syndrome coronavirus 2 gastrointestinal infections; FW-UP, which is in Phase II clinical trials for the treatment ulcerative proctitis and ulcerative proctosigmoiditis; FW-ICI-AC for immune checkpoint inhibitor-associated colitis and diarrhea in advanced stage oncology patients; and FW-UC, which is in Phase Ib/IIa clinical trials for the treatment of ulcerative proctitis and ulcerative proctosigmoiditis. It also develops FW-CD, which has completed Phase I clinical trials for Crohn's disease; and adrulipase, an oral, non-systemic, and biologic capsule for the treatment of exocrine pancreatic insufficiency in patients with cystic fibrosis and chronic pancreatitis. The company was formerly known as AzurRx BioPharma, Inc. and changed its name to First Wave BioPharma, Inc. in September 2021. First Wave BioPharma, Inc. was incorporated in 2014 and is headquartered in Boca Raton, Florida."
TRVI,"Trevi Therapeutics, Inc.",Healthcare,Biotechnology,USA,"Trevi Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the development and commercialization of Haduvio to treat serious neurologically mediated conditions. The company is developing Haduvio, an oral extended-release formulation of nalbuphine, which is in phase IIb/III clinical trial for the treatment of chronic pruritus, chronic cough in patients with idiopathic pulmonary fibrosis. It has a license agreement with Endo Pharmaceuticals Inc. to develop and commercialize products incorporating nalbuphine hydrochloride in any formulation. The company was incorporated in 2011 and is headquartered in New Haven, Connecticut."
YOSH,Yoshiharu Global Co.,Consumer Cyclical,Restaurants,USA,"Yoshiharu Global Co. operates Japanese restaurants in California. It offers ramen, sushi, bento boxes, and other Japanese cuisines. As of January 21, 2022, it owned and operated 6 restaurants in Southern California. Yoshiharu Global Co. was founded in 2016 and is based in Buena Park, California."
DLPN,"Dolphin Entertainment, Inc.",Communication Services,Entertainment,USA,"Dolphin Entertainment, Inc., together with its subsidiaries, operates as an independent entertainment marketing and premium content development company in the United States. It operates in two segments, Entertainment Publicity, and Marketing and Content Production. The Entertainment Publicity and Marketing segment offers public relations, entertainment content marketing, strategic communications, social media and digital marketing, creative branding, talent publicity, and entertainment marketing services, as well as produces promotional video content. The Content Production segment produces and distributes feature films and digital content. In addition, it offers strategic marketing and publicity services to individuals and corporates in the entertainment, hospitality, and music industries; and marketing direction, public relations counsel, and media strategy for video game publishers, as well as eSports leagues and other entities in the gaming industry. The company was formerly known as Dolphin Digital Media, Inc. and changed its name to Dolphin Entertainment, Inc. in July 2017. Dolphin Entertainment, Inc. is headquartered in Coral Gables, Florida."
SSY,"SunLink Health Systems, Inc.",Healthcare,Medical Care Facilities,USA,"SunLink Health Systems, Inc., through its subsidiaries, provides healthcare products and services in the southeastern United States. It operates in two segments, Healthcare Services and Pharmacy. The Healthcare Services segment owns and operates a 49-licensed-bed acute care hospital, which includes a 26-bed geriatric psychiatry unit; four clinics; and a 66-bed extended care and rehabilitation centre. This segment also provides information technology services; and owns unimproved lands. The Pharmacy segment offers institutional pharmacy services consisting of provision of specialty and non-specialty pharmaceutical and biological products, such as nursing homes, assisted living facilities, behavioural and specialty hospitals, hospices, and correctional facilities; non-institutional pharmacy services, including private residences; and durable medical equipment products and services, including the sale and rental of products for institutional clients or to patients in institutional settings and patient-administered home care, as well as retails pharmacy products and services. SunLink Health Systems, Inc. was founded in 1959 and is based in Atlanta, Georgia."
PERF,Perfect Corp,Technology,Software - Application,Taiwan,"Perfect Corp. provides SaaS artificial intelligence and augmented reality beauty and fashion tech business solutions. The company offers AR makeup virtual try-on, YouCam tutorial, AI foundation shade finder and matcher, AI virtual background changer, AI skin analysis, AI face analyzer, AI face reshape simulator, AI personality finder, in-store barcode try-on, AI virtual hair color try-on, AR hairstyle virtual try-on, AI beard dye and beard style virtual try-on, hat and headband virtual try-on, AI-powered virtual try-on for glasses, virtual try-on for nails, AR watch virtual try-on, AR ring virtual try-on, AR bracelet virtual try-on, and AR earring virtual try-on solutions and services. It also provides YouCam makeup, YouCam perfect, YouCam video, YouCam cut, YouCam nails, and YouCam fun apps. The company was founded in 2015 and is based in New Taipei City, Taiwan."
LBPH,"Longboard Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,"Longboard Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on developing transformative medicines for neurological diseases. The company's lead product candidate is LP352, which is in a Phase 1b/2a clinical trial for the treatment of seizures associated with developmental and epileptic encephalopathies. Its preclinical product candidates include LP659 and LP143, which focuses on developing therapies for multiple neurological diseases. The company was formerly known as Arena Neuroscience, Inc. and changed its name to Longboard Pharmaceuticals, Inc. in October 2020. Longboard Pharmaceuticals, Inc. was incorporated in 2020 and is based in La Jolla, California."
ELBM,Electra Battery Materials Corporation,Basic Materials,Other Industrial Metals & Mining,Canada,"Electra Battery Materials Corporation acquires and explores for resource properties in the United States and Canada. It primarily explores for cobalt and silver deposits. The company's flagship project is the Iron Creek cobalt-copper project, which covers an area of approximately 5,900 acres located in Lemhi County, Idaho. It also operates a cobalt refinery for producing battery materials for the electric vehicle supply chain. The company was formerly known as First Cobalt Corp. and changed its name to Electra Battery Materials Corporation in December 2021. Electra Battery Materials Corporation was incorporated in 2011 and is headquartered in Toronto, Canada."
CANO,"Cano Health, Inc.",Healthcare,Medical Care Facilities,USA,"Cano Health, Inc. provides primary care medical services to its members in the United States and Puerto Rico. It owns and operates medical centers enabled by CanoPanorama, a proprietary population health management technology-powered platform that provides the healthcare providers at its medical centers with a 360-degree view of their members with actionable insights to improve care decisions and member engagement. The company also operates pharmacies, as well as provides dental services in its medical centers. As of June 30, 2022, it operated 143 owned medical centers and maintained affiliate relationship with approximately 1000 physicians. Cano Health, Inc. was founded in 2009 and is headquartered in Miami, Florida."
NLS,"Nautilus, Inc.",Consumer Cyclical,Leisure,USA,"Nautilus, Inc., a fitness solutions company, designs, develops, sources, and markets cardio and strength fitness products, and related accessories for consumer and commercial use in the United States, Canada, Europe, the Middle East, Africa, and internationally. The company operates in two segments, Direct and Retail. It offers specialized cardio products, treadmills, ellipticals, bike products, home gyms, dumbbells, barbells, and kettlebells primarily under the Nautilus, Bowflex, Octane Fitness, and Schwinn brands, as well as fitness digital platform under the JRNY brand. In addition, it engages in licensing its brands and intellectual properties. The company offers its products directly to consumers through television advertising, social media, websites, and catalogs; and through a network of retail companies consisting of sporting goods stores, online retailers, electronics stores, furniture stores, and large-format and warehouse stores, as well as specialty retailers and independent bike dealers. Nautilus, Inc. was founded in 1986 and is headquartered in Vancouver, Washington."
XGN,Exagen Inc.,Healthcare,Diagnostics & Research,USA,"Exagen Inc. develops and commercializes various testing products based on its cell-bound complement activation products technology under the AVISE brand in the United States. It enables rheumatologists to care for patients through the diagnosis, prognosis, and monitoring of autoimmune and autoimmune-related diseases, including systemic lupus erythematosus (SLE) and rheumatoid arthritis (RA). Its lead testing product is AVISE CTD that enables differential diagnosis for patients presenting with symptoms indicative of various connective tissue diseases (CTDs) and other related diseases with overlapping symptoms. The company offers AVISE Lupus that measures activation of the complement system by quantifying the level of B-cell C4d and erythrocyte bound C4d in the patient's blood; and AVISE APS, which consists of a panel of autoantibody tests that aids in the diagnosis and management of APS. In addition, it provides AVISE SLE Prognostic, a panel of autoantibodies for assessing the potential for complications affecting the kidney, brain, and cardiovascular system; AVISE Vasculitis AAV, which utilizes a testing panel of individual analytes to provide physicians with results in the assessment and monitoring of anti-neutrophil cytoplasmic antibody and associated vasculitis; AVISE Anti-CarP test, which identifies RA patients with severe disease; and AVISE PC4d to measure platelet- bound C4d. Further, the company offers AVISE SLE Monitor, a biomarker blood test; AVISE MTX, a patented and validated blood test; and AVISE HCQ, a blood test to monitor levels of hydroxychloroquine. It has a research collaboration and license agreement with Allegheny Health Network (AHN) Research Institute to develop novel patented biomarkers. The company was formerly known as Exagen Diagnostics, Inc. and changed its name to Exagen Inc. in January 2019. Exagen Inc. was incorporated in 2002 and is headquartered in Vista, California."
APDN,"Applied DNA Sciences, Inc.",Healthcare,Diagnostics & Research,USA,"Applied DNA Sciences, Inc., a biotechnology company, develops and commercializes technologies to produce and detect deoxyribonucleic acid (DNA) in the Americas, Europe, Asia, and internationally. The company operates through three segments: Therapeutic DNA Production Services; MDx Testing Services; and DNA Tagging and Security Products and Services. The Therapeutic DNA Production Services segment develops and commercializes the LinearDNA platform, which enables a cell-free manufacture of high-fidelity synthetic DNA sequences for use in nucleic acid-based therapeutics. The MDx Testing Services segment provides clinical molecular diagnostics (MDx) testing and clinical laboratory testing services; COVID-19 testing services, including test scheduling, sample collection, and automated results reporting for higher education institutions, private clients, and businesses under the safeCircle trademark; polymerase chain reaction (PCR)-based MDx testing services for the Monkeypox virus; and MDx test kits and related supplies, as well as validates pharmacogenetics (PGx) testing services. The DNA Tagging and Security Products and Services segment offers SigNature Molecular Tags, which provides a methodology to authenticate goods within large and complex supply chains for materials, such as cotton, leather, pharmaceuticals, nutraceuticals, and other products; SigNify IF portable DNA readers and SigNify consumable reagent test kits, which offers a front-line solution for supply chain integrity backed with forensic-level molecular tag authentication; and fiberTyping, which uses PCR-based DNA detection to detect a product's naturally occurring DNA sequences for the purposes of product provenance authentication and supply chain security. The company was formerly known as Datalink Systems, Inc. and changed its name to Applied DNA Sciences, Inc. in 2002. Applied DNA Sciences, Inc. was founded in 1983 and is headquartered in Stony Brook, New York."
GLYC,"GlycoMimetics, Inc.",Healthcare,Biotechnology,USA,"GlycoMimetics, Inc., a clinical-stage biotechnology company, focuses on the discovery and development of novel glycomimetic drugs to address unmet medical needs resulting from diseases in the United States. It is developing uproleselan, an E-selectin inhibitor, which is used in combination with chemotherapy to treat acute myeloid leukemia (AML), as well as in phase 3 trial to treat relapsed/refractory AML. In addition, the company is developing GMI-1359, which targets e-selectin and a chemokine receptor for the treatment of cancers that affect the bone and bone marrow, including solid tumors. It also develops various other programs, including GMI-1687, an antagonist of E-selectin to treat vaso-occlusive crisis; and galectin-3 antagonists, a carbohydrate-binding protein. The company has a cooperative research and development agreement with the National Cancer Institute; and a collaboration and license agreement with Apollomics (Hong Kong) Limited for the development and commercialization of uproleselan and GMI-1687. GlycoMimetics, Inc. was incorporated in 2003 and is headquartered in Rockville, Maryland."
FSTX,"F-star Therapeutics, Inc.",Healthcare,Biotechnology,United Kingdom,"F-star Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops tetravalent bispecific antibodies for cancer therapy. Its medicines are used in immuno-oncology treatments. The company's principal product candidate is FS118 and is being evaluated in a proof-of-concept Phase 2 trial in PD-1/PD-L1 acquired resistance head and neck cancer patients. It is also developing first-in-human clinical study of FS222, a bispecific antibody that is in Phase 1 clinical trial targeting the costimulatory CD137 receptor and the inhibitory PD-L1 ligand. In addition, the company is also evaluating FS120 and SB 11285 for patients with advanced cancers, which are under Phase 1 clinical trials. F-star Therapeutics, Inc. was incorporated in 2002 and is headquartered in Cambridge, the United Kingdom."
XELA,"Exela Technologies, Inc.",Technology,Software - Application,USA,"Exela Technologies, Inc. provides transaction processing solutions, enterprise information management, document management, and digital business process services worldwide. The company operates through three segments: Information & Transaction Processing Solutions (ITPS), Healthcare Solutions (HS), and Legal & Loss Prevention Services (LLPS). The ITPS segment provides lending solutions for mortgages and auto loans; banking solutions for clearing, anti-money laundering, sanctions, and interbank cross-border settlement; property and casualty insurance solutions for origination, enrollments, claims processing, and benefits administration communications; and public sector solutions for income tax processing, benefits administration, and records management. It also offers solutions for payment processing and reconciliation, integrated receivable and payables management, document logistics and location services, records management, and electronic storage of data/documents; and software, hardware, professional services, and maintenance related to information and transaction processing automation. The HS segment provides revenue cycle solutions, integrated accounts payable and accounts receivable, and information management for healthcare payer and provider markets. The LLPS segment processes legal claims for class action and mass action settlement administrations, involving project management support, notification, and outreach to claimants; and collects, analyzes, and distributes settlement funds. It also offers data and analytical services in the areas of litigation consulting, economic and statistical analysis, expert witness services, and revenue recovery services for delinquent accounts receivable. The company is headquartered in Irving, Texas."
TQQQ,ProShares UltraPro QQQ,Financial,Exchange Traded Fund,USA,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified."
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,USA,"Tesla, Inc. designs, develops, manufactures, leases, and sells electric vehicles, and energy generation and storage systems in the United States, China, and internationally. It operates in two segments, Automotive, and Energy Generation and Storage. The Automotive segment offers electric vehicles, as well as sells automotive regulatory credits; and non-warranty after-sales vehicle, used vehicles, retail merchandise, and vehicle insurance services. This segment also provides sedans and sport utility vehicles through direct and used vehicle sales, a network of Tesla Superchargers, and in-app upgrades; purchase financing and leasing services; services for electric vehicles through its company-owned service locations and Tesla mobile service technicians; and vehicle limited warranties and extended service plans. The Energy Generation and Storage segment engages in the design, manufacture, installation, sale, and leasing of solar energy generation and energy storage products, and related services to residential, commercial, and industrial customers and utilities through its website, stores, and galleries, as well as through a network of channel partners; and provision of service and repairs to its energy product customers, including under warranty, as well as various financing options to its solar customers. The company was formerly known as Tesla Motors, Inc. and changed its name to Tesla, Inc. in February 2017. Tesla, Inc. was incorporated in 2003 and is headquartered in Austin, Texas."
SQQQ,ProShares UltraPro Short QQQ,Financial,Exchange Traded Fund,USA,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 100 of the largest domestic and international non-financial companies listed on The Nasdaq Stock Market based on market capitalization. The fund is non-diversified."
MULN,"Mullen Automotive, Inc.",Consumer Cyclical,Auto Manufacturers,USA,"Mullen Automotive, Inc., an electric vehicle company, manufactures and distributes electric vehicles. Its products include passenger electric vehicles and commercial vehicles; and provides solid-state polymer battery technology. The company is headquartered in Brea, California."
GFAI,"Guardforce AI Co., Limited",Industrials,Security & Protection Services,Taiwan,"Guardforce AI Co., Limited offers cash solutions and cash handling services in Thailand. The company's services include cash-in-transit, vehicles to banks, ATM management, cash center operations, cash processing, coin processing, and cheque center services, as well as cash deposit machine solutions, such as cash deposit management and express cash services. Its customers include local commercial banks, chain retailers, coin manufacturing mints, and government authorities. The company was incorporated in 2018 and is based in Singapore."
FFIE,Faraday Future Intelligent Electric Inc.,Consumer Cyclical,Auto Manufacturers,USA,"Faraday Future Intelligent Electric Inc. engages in the design, development, manufacture, engineering, sale, and distribution of electric vehicles and related products in the United States and internationally. The company was incorporated in 2014 and is headquartered in Gardena, California."
SOXL,Direxion Daily Semiconductor Bull 3X Shares,Financial,Exchange Traded Fund,USA,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, securities of the index, and ETFs that track the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is a rules-based, modified float-adjusted market capitalization-weighted index that tracks the performance of the thirty largest U.S. listed semiconductor companies. The fund is non-diversified."
BOIL,ProShares Ultra Bloomberg Natural Gas,Financial,Exchange Traded Fund,USA,"The fund seeks to meet its investment objective by investing normally in Natural Gas futures contracts. It may also invest in swaps if the market for a specific futures contract experiences emergencies (e.g., natural disaster, terrorist attack, or an act of God) or disruptions (e.g., a trading halt or a flash crash) or in situations where the Sponsor deems it impractical or inadvisable to buy or sell futures contracts (such as during periods of market volatility or illiquidity)."
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,USA,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions through online and physical stores in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). Its products offered through its stores include merchandise and content purchased for resale; and products offered by third-party sellers The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products in its stores; and programs that allow authors, musicians, filmmakers, Twitch streamers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program. The company serves consumers, sellers, developers, enterprises, content creators, and advertisers. Amazon.com, Inc. was incorporated in 1994 and is headquartered in Seattle, Washington."
SPY,SPDR S&P 500 ETF Trust,Financial,Exchange Traded Fund,USA,"The Trust seeks to achieve its investment objective by holding a portfolio of the common stocks that are included in the index (the ""Portfolio""), with the weight of each stock in the Portfolio substantially corresponding to the weight of such stock in the index."
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,USA,"Ford Motor Company designs, manufactures, markets, and services a range of Ford trucks, cars, sport utility vehicles, electrified vehicles, and Lincoln luxury vehicles worldwide. It operates through three segments: Automotive, Mobility, and Ford Credit. The Automotive segment sells Ford and Lincoln vehicles, service parts, and accessories through distributors and dealers, as well as through dealerships to commercial fleet customers, daily rental car companies, and governments. The Mobility segment designs and builds mobility services; and provides self-driving systems development services. The Ford Credit segment primarily engages in vehicle-related financing and leasing activities to and through automotive dealers. It provides retail installment sale contracts for new and used vehicles; and direct financing leases for new vehicles to retail and commercial customers, such as leasing companies, government entities, daily rental companies, and fleet customers. This segment also offers wholesale loans to dealers to finance the purchase of vehicle inventory; and loans to dealers to finance working capital and enhance dealership facilities, purchase dealership real estate, and other dealer vehicle programs. The company has a strategic collaboration with ARB Corporation Limited to develop a suite of aftermarket products for the new Ford Bronco. Ford Motor Company was incorporated in 1903 and is based in Dearborn, Michigan."
NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,"NVIDIA Corporation provides graphics, and compute and networking solutions in the United States, Taiwan, China, and internationally. The company's Graphics segment offers GeForce GPUs for gaming and PCs, the GeForce NOW game streaming service and related infrastructure, and solutions for gaming platforms; Quadro/NVIDIA RTX GPUs for enterprise workstation graphics; vGPU software for cloud-based visual and virtual computing; automotive platforms for infotainment systems; and Omniverse software for building 3D designs and virtual worlds. Its Compute & Networking segment provides Data Center platforms and systems for AI, HPC, and accelerated computing; Mellanox networking and interconnect solutions; automotive AI Cockpit, autonomous driving development agreements, and autonomous vehicle solutions; cryptocurrency mining processors; Jetson for robotics and other embedded platforms; and NVIDIA AI Enterprise and other software. The company's products are used in gaming, professional visualization, datacenter, and automotive markets. NVIDIA Corporation sells its products to original equipment manufacturers, original device manufacturers, system builders, add-in board manufacturers, retailers/distributors, independent software vendors, Internet and cloud service providers, automotive manufacturers and tier-1 automotive suppliers, mapping companies, start-ups, and other ecosystem participants. It has a strategic collaboration with Kroger Co. NVIDIA Corporation was incorporated in 1993 and is headquartered in Santa Clara, California."
QQQ,Invesco QQQ Trust,Financial,Exchange Traded Fund,USA,"To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index."
LABU,Direxion Daily S&P Biotech Bull 3X Shares,Financial,Exchange Traded Fund,USA,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments and securities of the index, exchange-traded funds (""ETFs"") that track the index and other financial instruments that provide daily leveraged exposure to the index or ETFs that track the index. The index is designed to measure the performance of the biotechnology sub-industry based on the Global Industry Classification Standards (""GICS""). The fund is non-diversified."
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,USA,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides processors for desktop and notebook personal computers under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, AMD FX, AMD A-Series, and AMD PRO A-Series processors brands; discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics, AMD Embedded Radeon graphics brands; and professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands. It also offers Radeon Instinct, Radeon PRO V-series, and AMD Instinct accelerators for servers; chipsets under the AMD trademark; microprocessors for servers under the AMD EPYC; embedded processor solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. The company was incorporated in 1969 and is headquartered in Santa Clara, California."
AAPL,Apple Inc.,Technology,Consumer Electronics,USA,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. In addition, the company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. Further, it provides AppleCare support and cloud services store services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. Additionally, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was incorporated in 1977 and is headquartered in Cupertino, California."
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. The company operates in three segments: Productivity and Business Processes, Intelligent Cloud, and More Personal Computing. The Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, Microsoft Viva, and Skype for Business; Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for organizations and enterprise divisions. The Intelligent Cloud segment licenses SQL, Windows Servers, Visual Studio, System Center, and related Client Access Licenses; GitHub that provides a collaboration platform and code hosting service for developers; Nuance provides healthcare and enterprise AI solutions; and Azure, a cloud platform. It also offers enterprise support, Microsoft consulting, and nuance professional services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification on Microsoft products. The More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; and Windows Internet of Things. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. The company sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. Microsoft Corporation was founded in 1975 and is headquartered in Redmond, Washington."
UVXY,ProShares Ultra VIX Short-Term Futures ETF,Financial,Exchange Traded Fund,USA,The index seeks to offer exposure to market volatility through publicly traded futures markets and is designed to measure the implied volatility of the S&P 500 over 30 days in the future.
AVRO,"AVROBIO, Inc.",Healthcare,Biotechnology,USA,"AVROBIO, Inc., a clinical-stage gene therapy company, develops ex vivo lentiviral-based gene therapies to treat rare diseases following a single dose worldwide. Its gene therapies employ hematopoietic stem cells that are collected from patients and modified with a lentiviral vector to insert functional copies of the gene that is defective in the target disease. The company's product includes AVR-RD-01, a gene therapy for the treatment of Fabry disease. It is also developing AVR-RD-02, which is in phase 1/2 clinical trial for the treatment of type 1 Gaucher disease; AVR-RD-03, for the treatment of Pompe disease; AVR-RD-04 for the treatment of cystinosis; AVR-RD-05 for the treatment of Hunter syndrome; and AVR-RD-06 that is in preclinical stage for the treatment of Gaucher disease type 3. The company was incorporated in 2015 and is headquartered in Cambridge, Massachusetts."
SOXS,Direxion Daily Semiconductor Bear 3X Shares,Financial,Exchange Traded Fund,USA,"The fund invests in swap agreements, futures contracts, short positions or other financial instruments that, in combination, provide inverse (opposite) or short leveraged exposure to the index equal to at least 80% of the fund's net assets (plus borrowing for investment purposes). The index is a rules-based, modified float-adjusted market capitalization-weighted index that tracks the performance of the thirty largest U.S. listed semiconductor companies. The fund is non-diversified."
EEM,iShares MSCI Emerging Markets ETF,Financial,Exchange Traded Fund,USA,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is designed to measure equity market performance in the global emerging markets. The underlying index includes large- and mid-capitalization companies and may change over time.
GMBL,"Esports Entertainment Group, Inc.",Consumer Cyclical,Gambling,Malta,"Esports Entertainment Group, Inc. operates as an iGaming and entertainment company in the United States and internationally. The company operates Vie.bet, an esports focused platform; Sportnation.bet, an online sportsbook and casino; iDefix, a casino-platform; Bethard, an online sportsbook and casino; Vie.gg, an online esports wagering website; and ggCircuit, a local area network center management software and services for managing mission critical functions, such as game licensing and payments. It also organizes online tournaments and player-vs-player wagering. The company was formerly known as VGambling, Inc. and changed its name to Esports Entertainment Group, Inc. in May 2017. Esports Entertainment Group, Inc. was incorporated in 2008 and is based in St. Julian's, Malta."
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,USA,"Meta Platforms, Inc. develops products that enable people to connect and share with friends and family through mobile devices, personal computers, virtual reality headsets, wearables, and in-home devices worldwide. It operates in two segments, Family of Apps and Reality Labs. The Family of Apps segment's products include Facebook, which enables people to share, discover, and connect with interests; Instagram, a community for sharing photos, videos, and private messages, as well as feed, stories, reels, video, live, and shops; Messenger, a messaging application for people to connect with friends, family, groups, and businesses across platforms and devices through chat, audio and video calls, and rooms; and WhatsApp, a messaging application that is used by people and businesses to communicate and transact privately. The Reality Labs segment provides augmented and virtual reality related products comprising virtual reality hardware, software, and content that help people feel connected, anytime, and anywhere. The company was formerly known as Facebook, Inc. and changed its name to Meta Platforms, Inc. in October 2021. Meta Platforms, Inc. was incorporated in 2004 and is headquartered in Menlo Park, California."
CCL,Carnival Corporation & plc,Consumer Cyclical,Travel Services,USA,"Carnival Corporation & plc engages in the provision of leisure travel services. The company operates a fleet of more than 90 ships visit approximately 700 ports under AIDA Cruises, Carnival Cruise Line, Costa Cruises, Cunard, Holland America Line, Princess Cruises, P&O Cruises (Australia), P&O Cruises (UK), and Seabourn brand names. It also provides port destinations and other services, as well as owns and owns and operates hotels, lodges, glass-domed railcars, and motorcoaches. The company sells its cruises primarily through travel agents, tour operators, vacation planners, and websites. It operates in the United States, Canada, Continental Europe, the United Kingdom, Australia, New Zealand, Asia, and internationally. Carnival Corporation & plc was founded in 1972 and is headquartered in Miami, Florida."
