Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200,Description
GLPG,Galapagos NV,Healthcare,Biotechnology,Belgium,2850000000.0,435.8,43.58,0.0040999999999999995,91764.0,TL Resistance,1,-,0.10,-,65.31M,-0.21%,-,-3.08,-,40.51M,-3.41%,-,613.80,-0.70,19.58%,2.50% / 6.32,5.60%,577.15M,4.93,11.80%,-,1.01M,-18.19%,40.87,1.07,-116.90%,-,54.84,-34.73%,-,-,0.71%,-,37.24,72.11,-1.80%,-,-,-,-,-39.56%,-,-,-,-,-,17.04%,1.08,1357,-,112.20%,-,46.80,2.83%,2.31%,Yes,-,-,-,0.57,43.40,Yes,-,Nov 03 AMC,-,160.41K,2.90,-3.48%,2.01%,-11.00%,"Galapagos NV, an integrated biopharmaceutical company, engages in the discovery, development, and commercialization of various medicines for high unmet medical need. Its pipeline products include filgotinib, a JAK1 inhibitor that is in various phases of clinical trials for the treatment of rheumatoid arthritis, Crohn's disease, ulcerative colitis, small bowel CD, fistulizing CD, ankylosing spondylitis, psoriatic arthritis, and uveitis. The company's pipeline products also comprise GLPG1972 that has completed Phase 2b trial for treating osteoarthritis; Toledo molecules, including GLPG3970, GLPG4399, and GLPG4876 for inflammation; and GLPG4716 and Ziritaxestat to treat idiopathic pulmonary fibrosis. In addition, its other pipeline products include GLPG2737, a cystic fibrosis transmembrane conductance regulator that is in Phase 2 clinical trials to treat patients with autosomal dominant polycystic kidney disease; and GLPG0555, a JAK1 inhibitor, which is in Phase 1b for treatment of patients with osteoarthritis. The company has collaboration agreements with Gilead Sciences, Inc.; AbbVie S.a r.l.; and Novartis Pharma AG. Galapagos NV was incorporated in 1999 and is headquartered in Mechelen, Belgium."
TGLS,Tecnoglass Inc.,Industrials,Building Products & Equipment,Colombia,1670000000.0,13.76,34.81,-0.0125,102406.0,TL Resistance,1,-,2.53,0.30%,47.67M,-1.69%,9.92,3.51,-29.48%,20.67M,13.06%,120.60M,14.64,0.98,26.40%,3.77% / 2.98,46.51%,639.20M,2.61,177.80%,3.87%,0.78M,38.96%,6.54,5.32,9.18%,18.90%,39.20,68.16%,1.81,19.23,0.94%,43.10%,16.05,36.48,13.13%,0.30,42.70,13.30%,17.60%,-4.58%,1.74,0.86%,1.40,10.20%,46.40%,116.88%,1.50,6908,2.00,53.20%,28.60%,61.86,3.34%,4.68%,Yes,0.54,126.40%,18.90%,0.39,35.25,Yes,0.54,Nov 03 BMO,10.70%,261.47K,1.40,4.78%,10.65%,44.31%,"Tecnoglass Inc., through its subsidiaries, designs, produces, markets, and installs architectural systems for the commercial and residential construction industries in Colombia, the United States, Panama, and internationally. The company offers low emissivity, laminated/thermo-laminated, thermo-acoustic, tempered, silk-screened, curved, and digital print glass products. It also provides aluminum products, including bars, plates, profiles, rods, and tubes that are used in the manufacture of architectural glass settings, such as windows, doors, spatial separators, and related products. In addition, the company offers curtain wall/floating facades, windows and doors, interior dividers and commercial display windows, hurricane-proof windows, and stick facade systems; and other products comprising awnings, structures, automatic doors, and other components of architectural systems. It markets and sells its products primarily under the Tecnoglass, ESWindows, and Alutions brands through internal and independent sales representatives, as wells as directly to distributors. The company was founded in 1984 and is headquartered in Barranquilla, Colombia. Tecnoglass Inc. is a subsidiary of Energy Holding Corporation."
PWP,Perella Weinberg Partners,Financial,Capital Markets,USA,912600000.0,51.34,10.32,-0.0077,209710.0,TL Resistance,1,-,0.20,0.30%,42.26M,-0.67%,13.40,0.77,-30.74%,41.45M,4.98%,18.90M,-,0.01,95.80%,2.90% / 4.19,23.15%,647.30M,1.41,-31.20%,-1.54%,1.20M,29.00%,3.31,3.12,11.59%,3.20%,12.50,-5.32%,3.19,3.24,-,13.80%,5.47,11.92,5.31%,0.28,-,-,6.50%,-13.42%,-,2.71%,2.10,-,75.40%,88.67%,0.41,602,2.10,-18.00%,-4.40%,53.93,4.88%,3.95%,Yes,0.00,-84.10%,2.90%,0.73,10.40,Yes,0.00,Feb 09 BMO,66.80%,286.73K,2.00,0.72%,4.61%,30.89%,"Perella Weinberg Partners, an independent investment banking company, provides strategic and financial advice services in the United States and internationally. The company offers advice services related to mission-critical strategic and financial decisions, mergers and acquisition execution, shareholder and defense advisory, capital raising, structure and restructuring, capital markets advisory, energy underwriting, and equity research. It serves public multinational corporations, mid-sized public and private companies, individual entrepreneurs, private and institutional investors, creditor committees, and government institutions in various industries comprising consumer and retail; energy; financial institutions; healthcare; industrials; and technology, media, and telecommunications. The company was founded in 2006 and is based in New York, New York."
CORN,Teucrium Corn Fund,Financial,Exchange Traded Fund,USA,,,26.61,0.0042,20405.0,"['TL Resistance', 'Wedge']",2,-,-,-,-,-0.30%,-,-,-,-,2.66%,-,-,-,-,- / -,-1.66%,-,-,-,-,-,7.04%,-,-,-,-,-,15.44%,-,-,-,-,22.76,30.30,-1.19%,-,-,-,-,-12.18%,-,-,-,-,-,16.92%,0.31,-,-,-,-,53.31,1.02%,1.21%,Yes,-,-,-,0.16,26.50,Yes,-,-,-,129.26K,-,0.42%,1.13%,-0.51%,"The Benchmark is a weighted average of the closing settlement prices for three futures contracts for corn that are traded on the Chicago Board of Trade. Under normal market conditions, it is expected that 100% of the fund's assets will be invested in Benchmark Component Futures Contracts and in cash and cash equivalents. The fund seeks to achieve its investment objective by investing in Benchmark Component Futures Contracts."
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,United Kingdom,6150000000.0,,13.92,0.030299999999999997,3442735.0,TL Resistance,1,-,-0.36,1.33%,450.10M,-0.07%,27.19,0.51,-0.18%,440.51M,12.44%,-162.40M,-,0.03,99.94%,3.82% / 2.71,14.57%,6.53B,0.94,102.40%,-1.15%,16.81M,66.91%,6.99,1.99,582.67%,-2.30%,14.51,105.92%,1.67,8.34,-2.90%,-6.80%,5.47,14.10,14.19%,-,53.78,-42.80%,-2.50%,-1.24%,1.81,-,1.00,-7.00%,13.40%,154.25%,0.50,20610,1.30,9.70%,1.20%,63.08,4.65%,3.61%,Yes,0.45,112.30%,-3.50%,0.55,13.51,Yes,0.36,Feb 23 BMO,-,6.21M,1.90,5.69%,12.13%,47.07%,"TechnipFMC plc engages in the oil and gas projects, technologies, and systems and services businesses in Europe, Central Asia, North and Latin America, the Asia Pacific, Africa, and the Middle East. The Subsea segment engages in the design, engineering, procurement, manufacturing, fabrication, installation, and life of field services for subsea systems, subsea field infrastructure, and subsea pipe systems used in oil and gas production and transportation. It provides subsea production and processing systems; subsea umbilicals, risers, and flowlines; vessels; and Subsea Studio for optimizing the development, execution, and operation of current and future subsea fields. This segment also offers well and asset services; research, engineering, manufacturing, and supply chain; and product management services. The Surface Technologies segment designs, manufactures, and services products and systems used in land and shallow water exploration and production of crude oil and natural gas. This segment offers drilling and completion systems; surface wellheads and production trees systems; iComplete, a digitally enabled pressure control system; fracturing tree and manifold systems; pressure pumping; well service pumps; well control, safety and integrity systems, multiphase meter modules, in-line separation and processing systems, and standard pumps; flowback and well testing services; skid systems; automation and digital systems; and flow measurement and automation solutions. It also offers planning, testing and installation, commissioning, operations, replacement and upgrade, maintenance, storage, preservation, intervention, integrity, decommissioning, and abandonment; and supplies flexible lines and flowline products and services. TechnipFMC plc has a strategic alliance with Talos Energy Inc. to develop and deliver technical and commercial solutions to Carbon Capture and Storage projects. The company was founded in 1884 and is based in Newcastle Upon Tyne, the United Kingdom."
IWD,iShares Russell 1000 Value ETF,Financial,Exchange Traded Fund,USA,,,159.3,-0.0088,1266049.0,TL Resistance,1,-,-,-,-,-0.69%,-,-,-,-,2.91%,-,-,-,-,- / -,6.19%,-,-,-,-,-,3.20%,-,-,-,-,-,-3.40%,-,-,-,-,134.09,169.69,5.04%,3.25,-,-,-,-6.12%,-,2.04%,-,-,-,18.80%,2.15,-,-,-,-,55.76,1.09%,1.27%,Yes,-,-,-,0.44,160.72,Yes,-,-,-,2.91M,-,0.77%,2.49%,4.98%,"The fund generally invests at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index (i.e., depositary receipts representing securities of the underlying index) and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
VONV,Vanguard Russell 1000 Value Index Fund,Financial,Exchange Traded Fund,USA,,,69.84,-0.0095,230212.0,"['TL Resistance', 'Head & Shoulders Inverse']",2,-,-,-,-,-0.72%,-,-,-,-,2.77%,-,-,-,-,- / -,6.17%,-,-,-,-,-,3.28%,-,-,-,-,-,-3.46%,-,-,-,-,58.83,74.46,4.90%,1.85,-,-,-,-6.20%,-,2.65%,-,-,-,18.72%,0.93,-,-,-,-,55.39,1.04%,1.23%,No,-,-,-,0.29,70.51,Yes,-,-,-,782.53K,-,0.72%,2.40%,4.90%,"The fund advisor employs an indexing investment approach designed to track the performance of the Russell 1000 Value Index. The index is designed to measure the performance of large-capitalization value stocks in the United States. The Advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
CBFV,"CB Financial Services, Inc.",Financial,Banks - Regional,USA,112800000.0,9.99,21.86,-0.0149,2119.0,"['TL Resistance', 'Wedge']",2,-,2.19,0.70%,5.11M,0.32%,8.67,2.52,2.98%,4.57M,1.44%,11.20M,1.00,0.67,30.20%,0.08% / 1.16,-0.59%,47.70M,2.36,209.00%,1.43%,0.00M,-6.18%,20.89,1.05,0.92%,0.90%,25.00,-9.86%,23.80,0.92,10.00%,10.20%,20.49,26.80,2.01%,1.00,10.35,3.00%,25.80%,-18.43%,0.58,4.57%,-,6.30%,-,6.69%,0.41,192,-,13.90%,76.50%,50.12,1.78%,1.43%,No,0.14,108.60%,25.40%,0.70,22.19,Yes,0.14,Jan 26 AMC,41.80%,3.01K,2.50,-0.44%,0.05%,-1.49%,"CB Financial Services, Inc. operates as the bank holding company for Community Bank that provides various banking products and services for individuals and businesses in southwestern Pennsylvania, West Virginia, and Ohio. The company's primary deposit products include demand deposits, NOW accounts, money market accounts, and savings accounts, as well as time deposit products. Its loan products comprise residential real estate loans, such as one- to four-family mortgage loans, home equity installment loans, and home equity lines of credit; commercial real estate loans that are secured primarily by improved properties, such as retail facilities, office buildings, and other non-residential buildings; construction loans to individuals to finance the construction of residential dwellings, as well as for the construction of commercial properties, including hotels, apartment buildings, housing developments, and owner-occupied properties used for businesses; commercial and industrial loans, and lines of credit; consumer loans consisting of indirect auto loans, secured and unsecured loans, and lines of credit; and other loans. In addition, the company conducts insurance agency activities by offering property and casualty, commercial liability, surety, and other insurance products. It operates through its main office and 13 branch offices in Greene, Allegheny, Washington, Fayette, and Westmoreland counties in southwestern Pennsylvania; Marshall and Ohio counties in West Virginia; and Belmont County in Ohio, as well as one loan production offices in Allegheny County. The company was founded in 1901 and is headquartered in Carmichaels, Pennsylvania."
OCTW,AllianzIM U.S. Large Cap Buffer,Financial,Exchange Traded Fund,USA,,,28.84,-0.0045000000000000005,18742.0,TL Resistance,1,-,-,-,-,-0.28%,-,-,-,-,2.60%,-,-,-,-,- / -,5.06%,-,-,-,-,-,7.45%,-,-,-,-,-,5.35%,-,-,-,-,25.82,29.05,3.63%,-,-,-,-,-0.72%,-,-,-,-,-,11.70%,0.17,-,-,-,-,61.93,0.53%,0.55%,No,-,-,-,0.87,28.97,Yes,-,-,-,21.53K,-,0.82%,2.19%,6.13%,"Under normal market conditions, the fund invests at least 80% of its net assets in instruments with economic characteristics similar to U.S. large cap equity securities. Specifically, the Advisor intends to invest substantially all of its assets in FLEX Options that reference the Underlying ETF. The fund is non-diversified."
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,1160000000.0,,14.13,-0.0282,176378.0,TL Resistance,1,-,-3.13,0.20%,83.67M,-4.07%,8.74,1.62,5.75%,82.18M,4.36%,-131.60M,-,0.36,59.30%,3.74% / 11.48,6.88%,207.10M,5.58,-120.20%,0.60%,3.08M,-6.86%,15.72,0.90,16.33%,-1.80%,16.25,4.98%,2.65,5.33,-,-13.00%,10.34,16.20,9.53%,1.42,-,-17.00%,0.10%,-12.78%,-,10.05%,-,21.70%,13.50%,36.65%,0.42,-,-,78.00%,-,50.03,3.11%,2.77%,Yes,3.34,-49.20%,-63.60%,0.66,14.54,Yes,2.55,Feb 22 AMC,-,267.92K,2.30,-0.23%,1.25%,2.35%,"Franklin BSP Realty Trust, Inc., a real estate finance company, originates, acquires, and manages a portfolio of commercial real estate debt secured by properties located in the United States. The company also originates conduit loans; and invests in commercial real estate securities, as well as owns real estate acquired through foreclosure and deed in lieu of foreclosure, and purchased for investment. In addition, it invests in commercial real estate debt investments, which includes first mortgage loans, mezzanine loans, bridge loans, and other loans related to commercial real estate. The company qualifies as a real estate investment trust for federal income tax purposes. It generally would not be subject to federal corporate income taxes if it distributes at least 90% of its taxable income to its stockholders. The company was formerly known as Benefit Street Partners Realty Trust, Inc. Franklin BSP Realty Trust, Inc. was incorporated in 2012 and is headquartered in New York, New York."
INN,"Summit Hotel Properties, Inc.",Real Estate,REIT - Hotel & Motel,USA,890350000.0,,8.29,-0.0349,525614.0,TL Resistance,1,-,-0.20,2.94%,105.23M,-2.70%,46.06,0.18,-0.09%,103.75M,12.94%,-20.20M,-,-0.02,98.60%,3.40% / 6.01,4.28%,610.20M,1.46,47.30%,0.29%,3.53M,0.36%,9.27,0.89,357.10%,-0.70%,9.30,-13.83%,0.68,12.26,-,-2.10%,6.57,10.58,14.82%,0.16,-,-22.90%,-1.70%,-21.64%,2.01,1.93%,-,-5.20%,42.80%,26.08%,0.28,63,-,61.10%,6.40%,56.03,3.02%,3.39%,Yes,1.51,95.30%,-3.30%,0.89,8.59,Yes,1.51,Feb 27 AMC,-,587.63K,2.80,3.14%,5.87%,3.50%,"Summit Hotel Properties, Inc. is a publicly traded real estate investment trust focused on owning premium-branded hotels with efficient operating models primarily in the Upscale segment of the lodging industry. As of November 3, 2020, the Company's portfolio consisted of 72 hotels, 67 of which are wholly owned, with a total of 11,288 guestrooms located in 23 states."
VEV,Vicinity Motor Corp.,Consumer Cyclical,Auto Manufacturers,Canada,38310000.0,,0.87,-0.0001,75111.0,"['TL Resistance', 'Double Bottom']",2,-,-0.36,9.77%,44.03M,-2.26%,-,-,0.00%,39.46M,-13.00%,-,-,-,1.61%,1.05% / 3.62,-29.84%,18.77M,2.04,-,-,0.41M,-43.14%,0.88,0.99,-,-,-,-79.58%,-,-,-,-,0.75,4.29,-9.37%,-,-,-,-,-79.72%,-,-,-,-,-,16.00%,0.05,60,-,-34.80%,-,40.51,4.10%,4.28%,No,-,-,-,0.66,0.87,Yes,-,-,-,114.12K,-,-5.87%,-3.86%,-29.20%,"Vicinity Motor Corp. designs, builds, and distributes a suite of transit buses for public and commercial use under the Vicinity brand in the United States and Canada. It offers electric, CNG, and clean diesel buses, as well as electric trucks and spare parts. The company was formerly known as Grande West Transportation Group Inc. and changed its name to Vicinity Motor Corp. in March 2021. Vicinity Motor Corp. founded in 2008 and is headquartered in Aldergrove, Canada."
FDVV,Fidelity High Dividend ETF,Financial,Exchange Traded Fund,USA,,,39.55,-0.009300000000000001,275523.0,"['TL Resistance', 'Head & Shoulders Inverse']",2,-,-,-,-,-0.70%,-,-,-,-,3.64%,-,-,-,-,- / -,8.06%,-,-,-,-,-,3.24%,-,-,-,-,-,-2.51%,-,-,-,-,32.35,42.28,6.03%,1.49,-,-,-,-6.45%,-,3.77%,-,-,-,22.26%,0.55,-,-,-,-,57.08,1.16%,1.31%,Yes,-,-,-,1.64,39.92,Yes,-,-,-,168.36K,-,1.01%,2.94%,5.37%,The fund normally invests at least 80% of assets in securities included in the underlying index and in depository receipts representing securities included in the underlying index. The underlying index is designed to reflect the performance of stocks of large and mid-capitalization high-dividend-paying companies that are expected to continue to pay and grow their dividends.
BKI,"Black Knight, Inc.",Technology,Software - Infrastructure,USA,9580000000.0,19.09,60.88,0.0068000000000000005,753967.0,TL Resistance,1,-,3.19,3.34%,154.50M,-0.43%,26.20,2.32,0.00%,150.82M,-0.43%,495.60M,6.36,0.55,94.10%,1.76% / 3.20,10.47%,1.55B,6.16,-22.70%,-2.85%,2.66M,-5.32%,16.50,3.69,-2.11%,8.20%,73.00,-15.07%,0.10,594.81,3.00%,20.70%,52.00,79.78,-1.41%,-,33.15,34.80%,5.90%,-23.69%,0.50,-,1.10,7.50%,-,17.08%,1.30,6400,1.10,2.30%,19.30%,51.41,1.75%,2.25%,Yes,1.05,-43.50%,31.90%,0.91,60.47,Yes,1.04,Feb 28 BMO,0.00%,831.15K,2.40,0.37%,0.58%,-4.97%,"Black Knight, Inc. provides integrated software, data, and analytics solutions in North America and Internationally. The Software Solutions segment offers software and hosting solutions comprising MSP, a software as a service application platform for mortgage, home equity loans, and lines of credit; Servicing Digital, a web and mobile solution for consumers that provides easy access to customized timely information about their mortgages; Loss Mitigation, an integrated solution that supports retention and liquidation workouts; and Empower, a loan origination system used by lenders to originate mortgages, home equity loans, and HELOCs. This segment also provides LoanCatcher, a cloud-based loan origination system designed for the needs of brokers; and LoanSifter PPE designed to meet the needs of the broker community by providing access to investors and loan products. The Data and Analytics segment offers property ownership data, lien data, servicing data, automated valuation models, collateral risk scores, behavioral models, lead generation, multiple listing service, and other data solutions. The company was formerly known as Black Knight Financial Services, Inc. and changed its name to Black Knight, Inc. in October 2017. Black Knight, Inc. was founded in 2013 and is headquartered in Jacksonville, Florida."
CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,Financial,Exchange Traded Fund,USA,,,61.17,-0.0103,18581.0,TL Resistance,1,-,-,-,-,-1.28%,-,-,-,-,0.78%,-,-,-,-,- / -,5.47%,-,-,-,-,-,1.88%,-,-,-,-,-,-1.24%,-,-,-,-,52.13,65.27,3.88%,1.95,-,-,-,-6.28%,-,3.18%,-,-,-,17.36%,0.76,-,-,-,-,52.44,1.02%,1.10%,No,-,-,-,0.66,61.81,No,-,-,-,28.16K,-,0.01%,1.49%,3.19%,"The fund seeks to achieve its investment objective by investing at least 80% of its assets directly or indirectly in the securities included in the Nasdaq Victory US Large Cap High Dividend 100 Volatility Weighted Index. The index universe begins with the stocks included in the Nasdaq Victory US Large Cap 500 Volatility Weighted Index, a volatility weighted index comprised of the 500 largest U.S. companies by market capitalization with positive earnings over the last twelve months."
NORW,Global X MSCI Norway ETF,Financial,Exchange Traded Fund,USA,,,25.62,0.0116,4011.0,TL Resistance,1,-,-,-,-,-1.39%,-,-,-,-,0.37%,-,-,-,-,- / -,1.25%,-,-,-,-,-,-8.27%,-,-,-,-,-,-16.61%,-,-,-,-,21.72,33.30,-0.10%,1.03,-,-,-,-23.05%,-,4.01%,-,-,-,17.98%,0.42,-,-,-,-,50.42,1.43%,1.27%,No,-,-,-,0.11,25.33,Yes,-,-,-,37.15K,-,-0.01%,-0.75%,-2.62%,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to represent the performance of the broad Norway equity universe. The fund is non-diversified."
OMFS,Invesco Russell 2000 Dynamic Multifactor ETF,Financial,Exchange Traded Fund,USA,,,37.76,-0.015,118364.0,TL Resistance,1,-,-,-,-,-0.54%,-,-,-,-,7.32%,-,-,-,-,- / -,7.23%,-,-,-,-,-,5.17%,-,-,-,-,-,-1.06%,-,-,-,-,31.51,40.26,10.46%,0.71,-,-,-,-6.22%,-,1.89%,-,-,-,19.82%,0.62,-,-,-,-,59.71,1.45%,1.48%,No,-,-,-,3.09,38.33,No,-,-,-,38.30K,-,2.18%,5.56%,7.37%,"The fund generally will invest at least 80% of its total assets in the securities that comprise the underlying index. The underlying index is designed to reflect a dynamic combination of ""factor investing"" strategies that have historically outperformed other factors during various parts of the economic cycle. The underlying index's universe of investable stocks is taken from the Russell 2000 Index, which measures the performance of 2,000 small-capitalization companies in the U.S."
ITA,iShares U.S. Aerospace & Defense ETF,Financial,Exchange Traded Fund,USA,,,114.8,-0.0043,273763.0,TL Resistance,1,-,-,-,-,0.03%,-,-,-,-,2.94%,-,-,-,-,- / -,5.64%,-,-,-,-,-,10.47%,-,-,-,-,-,10.64%,-,-,-,-,91.02,115.58,2.63%,1.06,-,-,-,-0.67%,-,0.92%,-,-,-,26.13%,1.70,-,-,-,-,59.03,1.33%,1.43%,Yes,-,-,-,0.44,115.29,Yes,-,-,-,627.85K,-,1.90%,2.67%,10.31%,"The index measures the performance of the aerospace and defense sector of the U.S. equity market, as defined by SPDJI. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified."
WSFS,WSFS Financial Corporation,Financial,Banks - Regional,USA,3050000000.0,14.21,50.17,-0.0105,248784.0,"['TL Resistance', 'Channel Down']",2,-,3.53,1.00%,63.05M,3.12%,9.82,5.11,-6.64%,60.94M,9.90%,222.40M,1.18,1.31,91.40%,2.33% / 5.45,5.71%,703.80M,4.33,154.40%,-6.27%,1.42M,4.13%,33.37,1.50,-0.41%,0.90%,53.75,-4.80%,17.78,2.82,12.00%,7.90%,37.03,54.04,10.65%,0.60,12.79,22.50%,16.00%,-7.16%,1.01,1.20%,-,16.10%,-,35.48%,1.55,1839,-,70.40%,55.40%,61.65,2.90%,3.17%,Yes,0.18,1.70%,24.90%,0.95,50.70,Yes,0.18,Jan 26 AMC,15.60%,260.55K,2.50,4.07%,6.81%,10.32%,"WSFS Financial Corporation operates as the savings and loan holding company for the Wilmington Savings Fund Society, FSB that provides various banking services in the United States. It operates through three segments: WSFS Bank, Cash Connect, and Wealth Management. It offers various deposit products, including savings accounts, demand deposits, interest-bearing demand deposits, money market deposit accounts, and certificates of deposit, as well as accepts jumbo certificates of deposit from individuals, businesses, and municipalities. The company also provides a range of loans, which comprise fixed and adjustable rate residential loans; commercial real estate mortgage loans; commercial construction loans to developers; commercial loans for working capital, financing equipment and real estate acquisitions, business expansion, and other business purposes; and consumer credit products, such as home improvement, automobile, and other secured and unsecured personal installment loans, as well as home equity lines and unsecured lines of credit, and government-insured reverse mortgages. In addition, it offers various third-party investment and insurance products, such as single-premium annuities, whole life policies, and securities; investment advisory services to high net worth individuals and institutions; mortgage and title services; and leases small equipment and fixed assets, as well as cash management, trust, and wealth management services. Further, the company provides ATM vault cash, smart safe, and other cash logistics services; and online reporting and ATM cash management, predictive cash ordering and reconcilement services, armored carrier management, loss protection, ATM processing equipment sales, and deposit safe cash logistics services. As of December 31, 2020, it operated 112 offices, including 52 in Pennsylvania, 42 in Delaware, 16 in New Jersey, 1 in Virginia, and 1 in Nevada. The company was founded in 1832 and is headquartered in Wilmington, Delaware."
MLAC,Malacca Straits Acquisition Company Limited,Financial,Shell Companies,Hong Kong,42970000.0,27.51,10.45,0.0,0.0,TL Resistance,1,-,0.38,-,8.30M,-1.10%,-,-,-,0.52M,2.49%,3.20M,-,-,-,2.78% / 3.90,1.50%,-,-,178.30%,-0.16%,0.01M,3.20%,4.84,2.16,-,4.40%,-,5.17%,0.05,214.83,-,5.00%,10.06,10.99,2.49%,-,-,-,-,-4.88%,-,-,0.10,-,-,3.92%,0.09,-,0.10,-,-,52.76,0.04%,0.57%,No,0.07,-112.40%,-,0.00,10.45,Yes,0.00,-,0.00%,3.68K,-,0.15%,1.45%,2.74%,"Malacca Straits Acquisition Company Limited does not have significant business. The company focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses in the media, food processing, renewable energy, and healthcare industries. The company was formerly known as Bilbao Street Limited and changed its name to Malacca Straits Acquisition Company Limited in February 2020. Malacca Straits Acquisition Company Limited was incorporated in 2019 and is based in Central, Hong Kong."
LTPZ,PIMCO 15+ Year U.S. TIPS Index ETF,Financial,Exchange Traded Fund,USA,,,61.66,0.0128,50578.0,TL Resistance,1,-,-,-,-,-1.07%,-,-,-,-,0.24%,-,-,-,-,- / -,10.09%,-,-,-,-,-,-10.60%,-,-,-,-,-,-24.68%,-,-,-,-,54.98,89.26,5.87%,4.55,-,-,-,-30.92%,-,7.38%,-,-,-,12.15%,0.94,-,-,-,-,52.00,1.18%,1.37%,Yes,-,-,-,0.27,60.88,Yes,-,-,-,187.14K,-,-0.07%,0.79%,-3.94%,"The fund invests at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the ICE BofA 15+ Year US Inflation-Linked Treasury Index (the ""underlying index""). The underlying index is an unmanaged index comprised of Treasury Inflation-Protected Securities (""TIPS"") with a maturity of at least 15 years."
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,USA,15350000000.0,24.36,121.4,-0.0095,718216.0,"['TL Resistance', 'Head & Shoulders Inverse']",2,S&P 500,4.98,1.10%,127.76M,-3.00%,14.49,8.38,-7.51%,125.08M,-3.48%,644.10M,2.24,1.59,88.30%,1.26% / 2.74,2.09%,14.92B,1.03,59.40%,-0.12%,1.58M,-1.94%,47.43,2.56,13.33%,4.30%,154.20,-5.20%,-,-,10.88%,10.70%,106.78,150.32,1.11%,1.04,66.40,28.80%,8.00%,-19.24%,0.86,0.86%,1.50,18.70%,22.30%,13.69%,3.03,60000,1.50,8.20%,6.20%,45.35,2.75%,2.29%,Yes,0.56,407.30%,4.30%,1.24,122.57,Yes,0.55,Feb 07 BMO,17.90%,577.69K,1.70,-1.75%,-1.08%,-2.79%,"Jacobs Solutions Inc. provides consulting, technical, scientific, and project delivery services for the government and private sectors in the United States, Europe, Canada, India, Asia, Australia, New Zealand, South America, Mexico, the Middle East, and Africa. It operates through three segments: Critical Mission Solutions, People & Places Solutions, and PA Consulting. The company offers cybersecurity, data analytics, systems and software application integration and consulting, enterprise and mission IT, engineering and design, nuclear, enterprise level operations and maintenance services; software development, testing, mission integration, program management, research, development, test, evaluation services, training, and environmental remediation services; and other technical consulting solutions, as well as construction management services. It also provides consulting services for consumer and manufacturing, defense and security, energy and utilities, financial services, government, health and life sciences, and transport industries. The company was founded in 1947 and is headquartered in Dallas, Texas."
VORBW,"Virgin Orbit Holdings, Inc.",Industrials,Aerospace & Defense,USA,,,0.15,-0.0625,3427.0,"['TL Resistance', 'Channel Down']",2,-,-,-,-,-19.48%,-,-,-,-,-37.63%,-,-,-,-,- / -,-42.97%,9.61M,-,-,-,-,-74.14%,-,-,-,-,-,-88.46%,-,-,-,-,0.12,1.50,-16.67%,-,-,-,-,-90.00%,-,-,-,-,-,25.00%,0.04,598,-,394.10%,-,42.79,19.76%,23.75%,No,-,-,-,0.13,0.16,No,-,-,-,26.82K,-,-10.67%,-26.41%,-65.69%,"Virgin Orbit Holdings, Inc. operates as a responsive launch and space solutions company worldwide. It builds and operates flexible and responsive space launch systems. The company launches commercial, civil, national security, and international satellites into orbit. It primarily launches small satellites. The company was founded in 2017 and is headquartered in Long Beach, California. Virgin Orbit Holdings, Inc. is a subsidiary of Vieco 10 Ltd."
