Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own(%),Shs Outstand,Perf Week(%),Forward P/E,EPS next Y,Insider Trans(%),Shs Float,Perf Month(%),Income,PEG,EPS next Q,Inst Own(%),Perf Quarter(%),Sales,P/S,EPS this Y(%),Inst Trans(%),Short Interest,Perf Half Y(%),Book/sh,P/B,EPS next Y Percentage(%),ROA(%),Target Price,Perf Year(%),Cash/sh,P/C,EPS next 5Y(%),ROE(%),52W Range From,52W Range To,Perf YTD(%),Dividend,P/FCF,EPS past 5Y(%),ROI(%),52W High(%),Beta,Dividend %(%),Quick Ratio,Sales past 5Y(%),Gross Margin(%),52W Low(%),ATR,Employees,Current Ratio,Sales Q/Q(%),Oper. Margin(%),RSI (14),Volatility W(%),Volatility M(%),Optionable,Debt/Eq,EPS Q/Q(%),Profit Margin(%),Rel Volume,Prev Close,Shortable,LT Debt/Eq,Payout(%),Avg Volume,Recom,SMA20(%),SMA50(%),SMA200(%),Description,Date,Short Float Percentage(%),Short Float Ratio,Earnings_Date,Earnings_Timing
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,United Kingdom,-2147483648,,13.76,-0.0115,1905038,"['TL Resistance', 'Wedge Up']",2,-,-0.36,1.33,450100000,5.61,27.19,0.51,0.18,440510000.0,10.45,-162400000.0,,0.03,99.94,12.53,6530000000.0,0.94,102.4,1.15,16810000.0,61.46,6.99,1.99,582.67,2.3,14.51,110.09,1.67,8.34,2.9,6.8,5.47,14.10,12.72,,53.78,42.8,2.5,2.52,1.81,,1.0,7.0,13.4,150.96,0.49,20610,1.3,9.7,1.2,59.9,4.65,3.61,True,0.45,112.3,3.5,0.44,13.92,True,0.36,,6150000,1.9,3.75,10.35,44.73,"TechnipFMC plc engages in the oil and gas projects, technologies, and systems and services businesses in Europe, Central Asia, North and Latin America, the Asia Pacific, Africa, and the Middle East. The Subsea segment engages in the design, engineering, procurement, manufacturing, fabrication, installation, and life of field services for subsea systems, subsea field infrastructure, and subsea pipe systems used in oil and gas production and transportation. It provides subsea production and processing systems; subsea umbilicals, risers, and flowlines; vessels; and Subsea Studio for optimizing the development, execution, and operation of current and future subsea fields. This segment also offers well and asset services; research, engineering, manufacturing, and supply chain; and product management services. The Surface Technologies segment designs, manufactures, and services products and systems used in land and shallow water exploration and production of crude oil and natural gas. This segment offers drilling and completion systems; surface wellheads and production trees systems; iComplete, a digitally enabled pressure control system; fracturing tree and manifold systems; pressure pumping; well service pumps; well control, safety and integrity systems, multiphase meter modules, in-line separation and processing systems, and standard pumps; flowback and well testing services; skid systems; automation and digital systems; and flow measurement and automation solutions. It also offers planning, testing and installation, commissioning, operations, replacement and upgrade, maintenance, storage, preservation, intervention, integrity, decommissioning, and abandonment; and supplies flexible lines and flowline products and services. TechnipFMC plc has a strategic alliance with Talos Energy Inc. to develop and deliver technical and commercial solutions to Carbon Capture and Storage projects. The company was founded in 1884 and is based in Newcastle Upon Tyne, the United Kingdom.",2023-02-09,3.82,2.73,2023-02-23,BMO
VORBW,"Virgin Orbit Holdings, Inc.",Industrials,Aerospace & Defense,USA,0,,0.16,0.0467,2952,"['Channel Down', 'TL Resistance']",2,-,,,0,22.51,,,,,14.77,,,,,44.43,9610000.0,,,,,74.26,,,,,,88.11,,,,,0.12,1.50,12.78,,,,,89.53,,,,,,30.83,0.04,598,,394.1,,44.73,19.76,23.75,False,,,,0.16,0.15,False,,,26210,,6.86,21.6,63.71,"Virgin Orbit Holdings, Inc. operates as a responsive launch and space solutions company worldwide. It builds and operates flexible and responsive space launch systems. The company launches commercial, civil, national security, and international satellites into orbit. It primarily launches small satellites. The company was founded in 2017 and is headquartered in Long Beach, California. Virgin Orbit Holdings, Inc. is a subsidiary of Vieco 10 Ltd.",2023-02-09,,,,
WSFS,WSFS Financial Corporation,Financial,Banks - Regional,USA,-2147483648,14.21,50.4,0.004699999999999999,99941,"['Channel Down', 'TL Resistance']",2,-,3.53,1.0,63050000,1.3,9.82,5.11,6.64,60940000.0,8.0,222400000.0,1.18,1.31,91.4,6.7,703800000.0,4.33,154.4,6.27,1420000.0,2.58,33.37,1.5,0.41,0.9,53.75,5.54,17.78,2.82,12.0,7.9,37.03,54.04,11.36,0.6,12.79,22.5,16.0,6.57,1.01,1.2,,16.1,,36.35,1.48,1839,,70.4,55.4,63.0,2.9,3.17,True,0.18,1.7,24.9,0.56,50.17,True,0.18,15.6,261860,2.5,4.36,7.39,10.93,"WSFS Financial Corporation operates as the savings and loan holding company for the Wilmington Savings Fund Society, FSB that provides various banking services in the United States. It operates through three segments: WSFS Bank, Cash Connect, and Wealth Management. It offers various deposit products, including savings accounts, demand deposits, interest-bearing demand deposits, money market deposit accounts, and certificates of deposit, as well as accepts jumbo certificates of deposit from individuals, businesses, and municipalities. The company also provides a range of loans, which comprise fixed and adjustable rate residential loans; commercial real estate mortgage loans; commercial construction loans to developers; commercial loans for working capital, financing equipment and real estate acquisitions, business expansion, and other business purposes; and consumer credit products, such as home improvement, automobile, and other secured and unsecured personal installment loans, as well as home equity lines and unsecured lines of credit, and government-insured reverse mortgages. In addition, it offers various third-party investment and insurance products, such as single-premium annuities, whole life policies, and securities; investment advisory services to high net worth individuals and institutions; mortgage and title services; and leases small equipment and fixed assets, as well as cash management, trust, and wealth management services. Further, the company provides ATM vault cash, smart safe, and other cash logistics services; and online reporting and ATM cash management, predictive cash ordering and reconcilement services, armored carrier management, loss protection, ATM processing equipment sales, and deposit safe cash logistics services. As of December 31, 2020, it operated 112 offices, including 52 in Pennsylvania, 42 in Delaware, 16 in New Jersey, 1 in Virginia, and 1 in Nevada. The company was founded in 1832 and is headquartered in Wilmington, Delaware.",2023-02-09,2.33,5.42,2023-01-26,AMC
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,USA,-2147483648,24.36,121.66,0.0021,157381,"['Head & Shoulders Inverse', 'TL Resistance']",2,S&P 500,4.98,1.1,127760000,3.08,14.49,8.38,7.51,125080000.0,4.67,644100000.0,2.24,1.59,88.3,1.82,14920000000.0,1.03,59.4,0.12,1580000.0,4.52,47.43,2.56,13.33,4.3,154.2,2.17,,,10.88,10.7,106.78,150.32,1.22,1.04,66.4,28.8,8.0,19.15,0.86,0.86,1.5,18.7,22.3,13.82,2.93,60000,1.5,8.2,6.2,45.78,2.75,2.29,True,0.56,407.3,4.3,0.39,121.40,True,0.55,17.9,583580,1.7,1.39,0.93,2.6,"Jacobs Solutions Inc. provides consulting, technical, scientific, and project delivery services for the government and private sectors in the United States, Europe, Canada, India, Asia, Australia, New Zealand, South America, Mexico, the Middle East, and Africa. It operates through three segments: Critical Mission Solutions, People & Places Solutions, and PA Consulting. The company offers cybersecurity, data analytics, systems and software application integration and consulting, enterprise and mission IT, engineering and design, nuclear, enterprise level operations and maintenance services; software development, testing, mission integration, program management, research, development, test, evaluation services, training, and environmental remediation services; and other technical consulting solutions, as well as construction management services. It also provides consulting services for consumer and manufacturing, defense and security, energy and utilities, financial services, government, health and life sciences, and transport industries. The company was founded in 1947 and is headquartered in Dallas, Texas.",2023-02-09,1.26,2.71,2023-02-07,BMO
BRLI,Brilliant Acquisition Corporation,Financial,Shell Companies,China,22500000,,10.83,0.0014000000000000002,76,"['Channel Up', 'TL Resistance']",2,-,-0.28,69.65,4450000,0.56,,,0.0,630000.0,0.75,-1500000.0,,,88.27,2.46,,,88.6,24.1,0.0,4.94,6.11,1.77,,3.7,,8.3,15.0,0.72,20.0,4.0,10.25,11.23,1.12,,,9.34,,3.56,,,8.2,,,5.66,0.04,0,8.2,,,58.64,0.0,0.25,False,0.13,537.6,,0.01,10.81,True,0.0,,15740,3.0,0.56,1.25,3.88,"Brilliant Acquisition Corporation does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, recapitalization, reorganization, or other similar business combination with one or more businesses. The company was incorporated in 2019 and is based in Shanghai, China.",2023-02-09,0.58,0.23,,
KORE,"KORE Group Holdings, Inc.",Communication Services,Telecom Services,USA,155200000,,1.79,-0.0349,39088,"['Channel Down', 'TL Resistance']",2,-,-0.63,0.2,76240000,26.93,,-0.33,71.72,60060000.0,23.46,-47100000.0,,-0.11,67.0,41.31,270200000.0,0.57,589.3,0.6,600000.0,34.91,3.3,0.56,44.1,6.1,6.01,67.98,0.51,3.62,,17.7,1.23,6.32,42.07,,13.86,,1.0,71.68,,,2.1,,50.4,45.54,0.16,614,2.3,1.9,10.4,41.8,10.61,7.83,False,1.67,34.2,17.4,0.37,1.86,True,1.65,,150010,2.2,10.32,4.1,36.36,"KORE Group Holdings, Inc. provides Internet of Things (IoT) services and solutions worldwide. It offers connectivity, location-based, device solutions, and managed and professional services that are used in the development and support of IoT technology for the Machine-to-Machine market. The company provides Connectivity-as-a-Service; IoT solutions and analytics to fleet tracking companies; and asset monitoring, communications, and industrial IoT services. It serves customers operating in a range of sectors, including healthcare, fleet and vehicle management, asset management, communication services, and industrial/manufacturing. The company was founded in 2002 and is headquartered in Alpharetta, Georgia.",2023-02-09,0.99,3.97,2022-11-14,AMC
BXSL,Blackstone Secured Lending Fund,Financial,Asset Management,USA,-2147483648,10.07,24.23,-0.0049,322477,"['Channel Down', 'TL Resistance']",2,-,2.42,0.1,165030000,2.52,7.0,3.48,111.42,159590000.0,5.79,404700000.0,,0.88,39.8,3.48,791400000.0,4.98,110.6,26.97,150000.0,0.9,25.26,0.96,20.14,4.0,26.22,16.74,0.81,30.06,,9.3,21.81,29.35,8.39,2.4,,,3.5,17.46,,9.86,,,57.7,11.07,0.39,0,,35.9,57.2,57.58,1.31,1.59,True,1.32,12.2,51.1,0.55,24.35,True,1.32,24.8,846170,2.0,1.37,3.72,1.24,"Blackstone Secured Lending Fund is business development company and a Delaware statutory trust formed on March 26, 2018, and structured as an externally managed, non-diversified closed-end investment Fund. On October 26, 2018, the fund elected to be regulated as a business development company (BDC) under the Investment Company Act of 1940, as amended (the 1940 Act). In addition, the Fund elected to be treated for U.S. federal income tax purposes, as a regulated investment company (RIC), as defined under Subchapter M of the Internal Revenue Code of 1986, as amended (the Code). The fund also intends to continue to comply with the requirements prescribed by the Code in order to maintain tax treatment as a RIC. The fund's investment objectives are to generate current income and, to a lesser extent, long-term capital appreciation. The Fund seeks to achieve its investment objective primarily through originated loans, equity and other securities, including syndicated loans, of private U.S. companies, specifically small and middle market companies, typically in the form of first lien senior secured and unitranche loans (including first out/last out loans), and to a lesser extent, second lien, third lien, unsecured and subordinated loans and other debt and equity securities.",2023-02-09,0.09,0.18,2023-02-27,BMO
FPI,Farmland Partners Inc.,Real Estate,REIT - Specialty,USA,694940000,65.82,12.76,-0.0009,318580,"['Channel Down', 'TL Resistance']",2,-,0.19,2.5,53490000,1.05,89.93,0.14,0.33,50200000.0,1.55,9000000.0,,0.15,47.6,8.89,59400000.0,11.7,6.3,9.2,1630000.0,14.34,10.8,1.18,33.02,0.8,15.6,14.6,0.16,78.08,,1.7,10.95,16.43,2.37,0.24,302.15,31.2,1.7,22.37,0.79,1.88,,10.8,79.0,16.48,0.30,25,,29.7,40.0,44.94,2.56,2.24,True,0.71,103.8,15.1,1.35,12.77,True,0.71,108.1,332620,2.2,1.84,0.53,7.67,"Farmland Partners Inc. is an internally managed real estate company that owns and seeks to acquire high-quality North American farmland and makes loans to farmers secured by farm real estate. As of the date of this release, the Company owns approximately 155,000 acres in 16 states, including Alabama, Arkansas, California, Colorado, Florida, Georgia, Illinois, Kansas, Louisiana, Michigan, Mississippi, Nebraska, North Carolina, South Carolina, South Dakota and Virginia. We have approximately 26 crop types and over 100 tenants. The Company elected to be taxed as a real estate investment trust, or REIT, for U.S. federal income tax purposes, commencing with the taxable year ended December 31, 2014.",2023-02-09,3.25,4.9,,
TBI,"TrueBlue, Inc.",Industrials,Staffing & Employment Services,USA,575290000,9.74,18.32,0.0044,120980,"['Channel Down', 'TL Resistance']",2,-,1.87,1.6,32430000,1.0,11.14,1.64,1.34,31660000.0,9.69,62300000.0,0.97,0.01,,7.96,2250000000.0,0.26,143.0,1.15,530000.0,14.11,15.01,1.22,51.15,7.4,22.33,33.74,1.39,13.13,10.0,15.3,15.77,30.32,6.74,,,46.4,9.6,39.78,1.47,,1.8,4.6,26.7,15.79,0.72,6400,1.8,0.2,3.7,40.11,5.32,3.19,True,0.16,20.0,3.3,1.12,18.24,True,0.05,0.0,153590,2.0,5.95,7.21,11.13,"TrueBlue, Inc., together with its subsidiaries, provides specialized workforce solutions in the United States, Canada, and Puerto Rico. It operates through three segments: PeopleReady, PeopleManagement, and PeopleScout. The PeopleReady segment offers contingent staffing solutions for blue-collar, on-demand, and skilled labor in construction, manufacturing and logistics, warehousing and distribution, waste and recycling, energy, retail, hospitality, and general labor industries. The PeopleManagement segment provides contingent labor and outsourced industrial workforce solutions. This segment also offers on-site management and recruitment for the contingent industrial workforce of manufacturing, warehouse, and distribution facilities; and recruitment and management of contingent and dedicated commercial drivers to the transportation and distribution industries under the Staff Management, SIMOS Insourcing Solutions, and Centerline Drivers brands. The PeopleScout segment offers permanent employee recruitment process outsourcing services; and manages clients' contingent labor programs comprising vendor selection, performance management, compliance monitoring, and risk management. The company was formerly known as Labor Ready, Inc. and changed its name to TrueBlue, Inc. in December 2007. TrueBlue, Inc. was incorporated in 1985 and is headquartered in Tacoma, Washington.",2023-02-09,1.67,3.44,2023-02-01,AMC
SITC,SITE Centers Corp.,Real Estate,REIT - Retail,USA,-2147483648,15.7,13.62,-0.0095,1294220,TL Resistance,1,-,0.88,9.9,213850000,4.06,50.18,0.27,0.05,176380000.0,7.65,187400000.0,,0.06,89.6,9.47,548700000.0,5.47,552.5,0.87,11370000.0,7.02,9.06,1.52,59.71,4.6,14.88,8.27,0.1,143.57,6.04,9.9,10.42,17.22,0.55,0.52,64.53,35.2,4.2,21.11,1.6,3.78,,11.9,70.1,30.37,0.39,293,,3.3,33.6,52.52,2.86,2.7,True,0.94,147.9,34.2,0.97,13.75,True,0.94,58.0,1880000,2.5,1.3,1.59,1.06,"SITE Centers is an owner and manager of open-air shopping centers that provide a highly-compelling shopping experience and merchandise mix for retail partners and consumers. The Company is a self-administered and self-managed REIT operating as a fully integrated real estate company, and is publicly traded on the New York Stock Exchange under the ticker symbol SITC.",2023-02-09,6.45,6.03,2023-02-08,BMO
BIS,ProShares UltraShort Nasdaq Biotechnology,Financial,Exchange Traded Fund,USA,0,,19.34,-0.0042,1468,TL Resistance,1,-,,,0,5.27,,,,,1.41,,,,,5.55,,,,,,6.84,,,,,,23.57,,,,,17.88,35.64,1.53,,,,,45.74,,,,,,8.16,0.49,0,,,,57.46,2.31,2.26,True,,,,0.11,19.42,True,,,19010,,4.61,2.07,17.61,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a modified capitalization weighted index that includes securities of Nasdaq listed companies that are classified as either biotechnology or pharmaceutical. The fund is non-diversified.",2023-02-09,,,,
BRY,Berry Corporation,Energy,Oil & Gas E&P,USA,683160000,4.03,9.0,-0.0121,279150,"['TL Resistance', 'Wedge']",2,-,2.26,10.2,78040000,1.01,6.59,1.38,55.66,75640000.0,10.99,187000000.0,0.27,0.24,99.54,2.6,931700000.0,0.73,94.1,7.46,2410000.0,8.18,9.86,0.92,27.26,12.5,11.8,15.4,0.55,16.46,15.0,27.4,6.1,11.41,12.37,0.24,5.45,58.5,1.5,21.24,2.26,2.63,1.0,5.8,52.9,47.27,0.33,1224,1.0,162.5,24.7,53.79,4.04,3.39,False,0.51,1848.6,20.1,0.62,9.11,True,0.51,7.5,636860,2.2,0.03,7.05,6.51,"Berry Corporation, an independent upstream energy company, engages in the development and production of conventional oil reserves located in the western United States. It operates in two segments, Development and Production, and Well Servicing and Abandonment. The company's properties are located in the San Joaquin and Ventura basins, California; and Uinta basin, Utah. As of December 31, 2021, it had a total of 3,417 net productive wells. The company was formerly known as Berry Petroleum Corporation and changed its name to Berry Corporation in February 2020. Berry Corporation was founded in 1909 and is headquartered in Dallas, Texas.",2023-02-09,3.19,3.79,2023-02-22,BMO
ATOS,"Atossa Therapeutics, Inc.",Healthcare,Biotechnology,USA,96870000,,0.77,0.006500000000000001,171825,TL Resistance,1,-,-0.19,0.04,126620000,7.84,,-0.22,0.0,126570000.0,13.66,-24300000.0,,-0.06,21.5,6.13,,,91.1,13.92,9080000.0,27.15,0.97,0.79,,18.0,6.0,46.13,0.93,0.83,,18.5,0.5,1.62,44.74,,,63.2,,52.78,1.2,,43.0,,,52.99,0.06,4,43.0,,,48.57,6.08,9.03,True,0.0,54.1,,0.44,0.76,True,0.0,,565630,2.0,5.96,7.56,14.29,"Atossa Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on the discovery and development of medicines in the areas of oncology and infectious diseases. The company's lead program is Endoxifen, an active metabolite of tamoxifen, which is in Phase II clinical trials to treat and prevent breast cancer. It is also developing AT-H201, an inhalation therapy to improve lung function in severely ill and hospitalized COVID-19 patients; AT-301, a proprietary drug candidate for nasal administration in patients diagnosed with COVID-19; and immunotherapy/chimeric antigen receptor therapy programs for the treatment of breast cancer. It has a research agreement with Dana-Farber Cancer Institute, Inc. to support research of cytokine-coated nanoparticles for the treatment of breast cancer. The company was formerly known as Atossa Genetics Inc. and changed its name to Atossa Therapeutics, Inc. in January 2020. Atossa Therapeutics, Inc. was founded in 2008 and is headquartered in Seattle, Washington.",2023-02-09,7.17,16.05,,
FXLV,F45 Training Holdings Inc.,Consumer Cyclical,Leisure,USA,290240000,,2.97,-0.0192,180066,"['TL Resistance', 'Wedge']",2,-,-0.82,1.3,97100000,5.47,13.35,0.23,283.69,47550000.0,6.37,-77600000.0,,0.0,50.5,3.29,171200000.0,1.7,580.6,2.81,6050000.0,43.41,0.44,6.89,124.2,34.0,3.75,78.08,0.17,17.38,,78.6,0.79,15.78,3.16,,,,56.3,81.37,,,1.0,,71.4,274.19,0.22,160,1.6,7.7,31.3,48.19,6.74,7.52,True,2.08,59.4,45.3,0.62,3.03,True,2.08,,420970,2.7,1.33,0.07,19.52,"F45 Training Holdings Inc. operates as a fitness franchisor. The company offers consumers functional 45-minute workouts that combine elements of high-intensity interval, circuit, and functional training. It provides workouts primarily through its digitally-connected network of studios. As of December 31, 2021, the company operated 1,749 total studios. It has operations in the United States, South America, Australia, New Zealand and surrounding island nations, and internationally. The company was formerly known as Flyhalf Holdings Inc. and changed its name to F45 Training Holdings Inc. in March 2019. F45 Training Holdings Inc. was founded in 2013 and is headquartered in Austin, Texas.",2023-02-09,12.72,14.37,,
TRMR,Tremor International Ltd,Communication Services,Advertising Agencies,Israel,581620000,15.17,7.99,-0.0062,50421,"['TL Resistance', 'Wedge Down']",2,-,0.53,0.5,72020000,4.76,4.59,1.75,0.0,71660000.0,14.45,,,0.37,11.89,1.91,330090000.0,1.76,27.1,,460000.0,28.38,11.37,0.71,44.6,,13.8,45.65,,,,,6.12,16.73,24.03,,,,,52.18,,,,,,30.72,0.33,576,,18.6,,56.86,2.78,4.4,True,,,,0.40,8.04,True,,,184270,1.9,1.88,8.04,7.31,"Tremor International Ltd. provides end-to-end software platform that enables advertisers to reach relevant audiences and publishers. The company's demand side platform (DSP) offers full-service and self-managed marketplace access to advertisers and agencies in order to execute their digital marketing campaigns in real time across various ad formats. Its sell supply side platform (SSP) provides access to data and a comprehensive product suite to drive inventory management and revenue optimization. The company also offers data management platform solution, which integrates DSP and SSP solutions enabling advertisers and publishers to use data from various sources in order to optimize results of their advertising campaigns. It serves Ad buyers, advertisers, brands, agencies, and digital publishers in Israel, the United States, the Asia-Pacific, Europe, the Middle East, and Africa. The company was formerly known as Taptica International Ltd. and changed its name to Tremor International Ltd. in September 2015. Tremor International Ltd. was incorporated in 2007 and is headquartered in Tel Aviv-Yafo, Israel.",2023-02-09,0.64,2.49,2022-11-14,BMO
CTG,"Computer Task Group, Incorporated",Technology,Information Technology Services,USA,122620000,7.78,7.29,0.0,2671,"['TL Resistance', 'Wedge']",2,-,0.94,3.3,14480000,5.57,11.3,0.65,0.0,13940000.0,1.25,14100000.0,0.52,0.12,53.1,4.83,359600000.0,0.34,73.2,0.18,10000.0,7.72,6.63,1.1,21.7,7.9,11.12,14.64,1.59,4.58,15.0,14.8,6.42,10.10,3.57,,7.34,19.3,15.6,27.82,0.91,,1.8,3.8,23.2,13.55,0.31,3250,1.8,17.2,3.8,50.56,5.44,4.11,True,0.0,35.0,3.9,0.14,7.29,True,0.0,0.0,26290,3.0,0.33,1.11,7.08,"Computer Task Group, Incorporated, together with its subsidiaries, offers information and technology services in North America, South America, Western Europe, and India. It operates through three segments: North America IT Solutions and Services, Europe IT Solutions and Services, and Non-Strategic Technology Services. The company offers business process transformation solutions, which include advisory, data strategy, digital workplace, enterprise platforms, information disclosure, and regulatory and compliance services; technology transformation solutions, such as application development, automation, cloud, data management, enterprise platform implementation, and testing services; and operations transformation solutions consisting of application support, IT operations support, cloud, and infrastructure. It also provides staffing services, including managed staffing, staff augmentation, and volume staffing services. The company serves financial services, healthcare, manufacturing, and energy industries, as well as technology service providers. Computer Task Group, Incorporated was incorporated in 1966 and is headquartered in Amherst, New York.",2023-02-09,0.08,0.44,2022-11-08,BMO
EZM,WisdomTree U.S. MidCap Earnings Fund,Financial,Exchange Traded Fund,USA,0,,54.0,-0.0059,83557,TL Resistance,1,-,,,0,3.1,,,,,6.78,,,,,10.62,,,,,,5.5,,,,,,0.46,,,,,43.61,56.41,11.17,0.76,,,,4.18,,1.4,,,,23.94,0.95,0,,,,58.06,1.52,1.58,False,,,,2.89,54.32,True,,,40480,,1.7,5.86,9.41,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of earnings-generating companies within the mid-capitalization segment of the U.S. stock market. The fund is non-diversified.",2023-02-09,,,,
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,USA,-2147483648,27.49,15.85,0.0115,986526,TL Resistance,1,-,0.57,0.2,186310000,7.28,13.61,1.15,15.35,175680000.0,3.81,121000000.0,,0.17,,37.03,5000000000.0,0.61,261.6,2.53,15690000.0,32.11,7.85,2.0,27.89,3.3,16.55,32.79,0.42,36.94,13.5,8.6,9.46,24.50,13.18,,,11.9,25.6,35.51,1.49,,0.7,6.8,34.5,67.02,0.58,7200,1.9,2.6,5.1,51.96,3.33,3.43,True,0.28,44.1,2.4,0.30,15.67,True,0.28,78.4,4740000,2.7,0.06,2.89,22.39,"American Eagle Outfitters, Inc. operates as a specialty retailer that provides clothing, accessories, and personal care products under the American Eagle and Aerie brands. The company provides jeans, and specialty apparel and accessories for women and men; and intimates, apparel, activewear, and swim collections, as well as personal care products for women. It also offers graphic tees and other clothing products under the Tailgate brand name; and menswear products under the Todd Snyder New York brand name. It also provides products through its websites ae.com, aerie.com, and toddsnyder.com. American Eagle Outfitters, Inc. was founded in 1977 and is headquartered in Pittsburgh, Pennsylvania.",2023-02-09,8.93,3.31,2022-11-22,BMO
ICVX,"Icosavax, Inc.",Healthcare,Biotechnology,USA,442890000,,10.89,0.0074,45244,TL Resistance,1,-,-2.19,3.2,39750000,6.17,,-2.4,6.31,34770000.0,9.43,-86300000.0,,-0.59,80.9,275.96,2700000.0,164.03,641.6,8.12,1290000.0,30.63,5.68,1.9,0.0,32.3,26.67,36.53,5.4,2.0,,34.3,2.28,18.92,35.89,,,,23.9,42.97,,,17.6,,,373.25,0.97,34,17.6,,,57.2,6.64,9.85,True,0.0,37.2,,0.06,10.81,True,0.0,,1150000,1.4,3.21,31.21,68.08,"Icosavax, Inc., a biopharmaceutical company, develops vaccines against infectious diseases. The company, with the help of its virus-like particle (VLP) platform technology, focuses primarily on life-threatening respiratory diseases. Its products in pipeline include IVX-121, a vaccine candidate with RSV target and is under Phase 1/1b clinical trial; IVX-A12, a respiratory syncytial virus (RSV) monovalent antigen candidate with RSV/human metapneumovirus (hMPV) bivalent target indication; IVX-241, a vaccine candidate with hMPV target; and IVX-411, an original receptor binding domain (RBD) sequence antigen with SARS-CoV-2 target indication and is under Phase 1/2 clinical trial. The company was incorporated in 2017 and is headquartered in Seattle, Washington.",2023-02-09,3.72,1.12,,
CCK,"Crown Holdings, Inc.",Consumer Cyclical,Packaging & Containers,USA,-2147483648,,87.14,0.0013,572416,TL Resistance,1,-,-2.67,0.1,119700000,3.16,12.72,6.84,0.41,117790000.0,2.14,-354000000.0,,1.05,99.2,13.11,12980000000.0,0.82,223.4,2.58,4080000.0,10.08,13.92,6.25,3.17,2.6,95.0,23.66,3.0,29.06,6.31,20.3,66.0,130.42,5.9,0.88,,25.3,1.9,33.25,1.05,1.01,0.7,6.6,18.3,31.91,2.34,26000,1.2,11.6,1.4,52.07,3.41,2.55,True,4.13,26.7,2.8,0.69,87.03,True,4.03,,1190000,2.2,0.5,3.36,3.51,"Crown Holdings, Inc. designs, manufactures, and sells packaging products and equipment for consumer goods and industrial products in the Americas, Europe, and the Asia Pacific. It offers products for consumer goods, including steel and aluminum cans for food and beverage industries. The company also provides products for industrial products, such as steel and plastic strap consumables and equipment, paper-based protective packaging, and plastic film consumables and equipment to metals, food and beverage, construction, agricultural, corrugated, and general industries. In addition, it offers other consumer products, glass bottles for beverage products, steel crowns, aluminum caps, steel strap, plastic strap, industrial film, and other related products, as well as equipment and tools, such as manual, semi-automatic, and automatic equipment and tools used in end of line manufacturing applications to apply industrial solutions consumables. Crown Holdings, Inc. was founded in 1892 and is headquartered in Yardley, Pennsylvania.",2023-02-09,3.46,3.43,2023-02-07,AMC
SAR,Saratoga Investment Corp.,Financial,Asset Management,USA,317140000,22.87,26.68,-0.0022,14932,TL Resistance,1,-,1.17,6.0,11890000,0.19,8.18,3.27,0.0,8710000.0,1.0,13900000.0,,0.78,20.3,18.04,85800000.0,3.7,202.3,4.14,40000.0,9.59,28.23,0.95,161.31,1.4,28.36,3.88,3.96,6.75,,4.0,20.16,28.44,4.94,2.72,,15.0,1.9,5.94,1.45,10.17,,16.4,43.7,32.69,0.52,0,,59.4,34.9,51.23,1.75,1.84,True,1.87,30.6,16.2,0.55,26.74,True,1.87,195.0,39650,1.6,0.83,1.25,8.35,"Saratoga Investment Corp. is a business development company specializing in leveraged and management buyouts, acquisition financings, growth financings, recapitalization, debt refinancing, and transitional financing transactions at the lower end of middle market companies. It structures its investments as debt and equity by investing through first and second lien loans, mezzanine debt, co-investments, select high yield bonds, senior secured bonds, unsecured bonds, and preferred and common equity. The firm prefers to invest in aerospace, automotive aftermarket and services, business products and services, consumer products and services, education, environmental services, industrial services, financial services, food and beverage, healthcare products and services, logistics, distribution, manufacturing, restaurants services, food services, software services, technology services, specialty chemical, media and telecommunications. It seeks to invest in the United States. The firm primarily invests $5 million to $50 million in companies having EBITDA of $2 million or greater and revenues of $8 million to $250 million. The firm prefer to take a majority stake. It invests through direct lending as well as participation in loan syndicates. The firm was formerly known as GSC Investment Corp. Saratoga Investment Corp. is based in New York, New York with an additional office in Florham Park, New Jersey.",2023-02-09,0.41,0.91,2023-01-10,AMC
