,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Index,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,EPS next Y Percentage,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range From,52W Range To,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility W,Volatility M,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Recom,SMA20,SMA50,SMA200
226,BTBT,"Bit Digital, Inc.",Financial,Capital Markets,USA,129660000.0,,1.35,-0.08779999999999999,1716352.0,Top Losers,1,-,-0.68,0.78%,83.33M,-15.62%,-,-0.48,0.00%,75.50M,51.02%,-52.10M,-,-0.13,8.30%,7.17% / 2.86,21.62%,37.90M,3.42,34.40%,-49.89%,5.41M,-9.40%,1.79,0.83,29.40%,-30.10%,2.00,-68.24%,0.63,2.33,-,-33.20%,0.53,5.35,125.00%,-,-,50.20%,0.10%,-74.77%,5.59,-,19.80,91.80%,49.50%,154.67%,0.14,12,19.80,-12.50%,-,54.07,9.86%,13.68%,Yes,0.00,53.30%,-,0.91,1.48,Yes,0.00,-,-,1.89M,2.00,-0.73%,37.51%,0.60%
227,NICK,"Nicholas Financial, Inc.",Financial,Credit Services,USA,56000000.0,,7.8,-0.0877,19701.0,"['Top Losers', 'Unusual Volume']",2,-,-0.71,1.30%,7.27M,24.60%,-,-,30.70%,6.62M,27.87%,-5.30M,-,-,62.90%,0.70% / 9.29,10.48%,49.00M,1.14,-63.80%,-0.89%,0.05M,-17.11%,14.99,0.57,-,-2.90%,-,-30.11%,0.23,37.34,5.00%,-4.60%,5.23,11.88,23.81%,-,-,-10.50%,1.70%,-34.34%,0.64,-,-,-11.30%,-,49.14%,0.49,278,-,4.00%,-14.20%,63.78,10.50%,4.73%,No,0.54,-308.20%,-10.80%,3.96,8.55,Yes,0.54,-,-,4.97K,-,21.14%,21.77%,-1.99%
228,CLRB,"Cellectar Biosciences, Inc.",Healthcare,Biotechnology,USA,17380000.0,,1.73,-0.0874,112131.0,"['Top Losers', 'Most Volatile']",2,-,-4.47,4.82%,9.39M,14.08%,-,-2.83,0.00%,8.76M,-3.13%,-27.30M,-,-1.00,7.60%,0.47% / 0.75,-6.77%,-,-,43.00%,-4.00%,0.04M,-67.95%,1.86,1.02,27.60%,-95.50%,12.60,-70.05%,1.95,0.98,-,-124.60%,1.25,7.90,1.40%,-,-,49.80%,-,-78.05%,1.21,-,2.90,-,-,38.72%,0.15,12,2.90,-,-,54.71,9.56%,7.99%,No,0.00,-31.50%,-,2.05,1.90,Yes,0.00,Nov 03 BMO,-,54.72K,1.60,7.19%,5.15%,-48.86%
229,ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA,739840000.0,,13.85,-0.087,1054306.0,Top Losers,1,-,-1.90,0.60%,49.29M,0.51%,-,-2.16,-15.82%,48.81M,-0.86%,-86.90M,-,-0.52,94.70%,14.99% / 4.95,18.88%,3.30M,224.19,-22.90%,16.30%,7.32M,12.33%,4.16,3.65,-14.90%,-40.50%,29.12,74.87%,4.14,3.66,-,-44.40%,3.83,23.49,-15.81%,-,-,45.70%,-48.70%,-41.04%,0.09,-,13.40,6.40%,-,261.62%,1.08,47,13.40,-98.70%,-,47.18,6.55%,7.20%,Yes,0.00,41.10%,-,0.71,15.17,Yes,0.00,Nov 10 BMO,-,1.48M,1.70,-5.80%,4.49%,19.17%
230,TMCI,"Treace Medical Concepts, Inc.",Healthcare,Medical Devices,USA,1280000000.0,,21.0,-0.087,2398904.0,"['Top Losers', 'Unusual Volume']",2,-,-0.82,17.30%,55.43M,-10.64%,-,-0.73,-11.81%,33.56M,-7.98%,-45.00M,-,-0.14,48.10%,5.42% / 6.13,-0.38%,125.50M,10.17,-402.00%,12.28%,1.82M,13.09%,1.12,20.54,9.90%,-29.90%,29.25,6.28%,1.59,14.42,-,-57.40%,12.48,26.50,-8.66%,-,-,-,-13.50%,-20.75%,-,-,4.90,-,80.80%,68.27%,1.23,248,5.70,53.20%,-33.00%,31.99,3.81%,4.81%,No,0.85,-80.00%,-35.90%,8.08,23.00,Yes,0.85,Nov 08 AMC,-,296.92K,1.50,-15.74%,-12.65%,3.12%
231,GRNA,GreenLight Biosciences Holdings,Healthcare,Biotechnology,USA,160520000.0,,0.96,-0.0868,201835.0,"['Top Losers', 'New Low']",2,-,-1.31,45.39%,139.06M,-12.03%,-,-0.89,29.98%,82.68M,-10.38%,-163.00M,-,-,25.20%,2.77% / 6.56,-52.06%,4.20M,38.22,-110.90%,23.80%,2.29M,-74.70%,0.61,1.72,26.40%,-149.60%,4.75,-88.35%,0.64,1.63,-,-493.90%,1.00,15.80,-18.74%,-,-,-,-300.70%,-93.93%,-,-,3.40,-,-,-4.11%,0.09,312,3.40,325.00%,-,36.25,7.60%,7.37%,No,0.35,-15.60%,-,0.58,1.05,Yes,0.20,-,-,349.79K,1.50,-12.07%,-16.96%,-68.22%
232,SOPA,Society Pass Incorporated,Technology,Software - Application,Singapore,33910000.0,,1.16,-0.0866,222138.0,Top Losers,1,-,-1.83,36.17%,25.30M,11.54%,-,-0.85,0.00%,17.02M,22.35%,-43.30M,-,-0.25,1.90%,1.79% / 1.45,-32.16%,3.40M,9.97,-706.60%,-24.99%,0.30M,-41.12%,1.11,1.14,33.10%,-111.90%,6.33,-64.63%,0.86,1.47,-,-128.90%,0.90,5.95,17.17%,-,-,-,-107.30%,-80.50%,-,-,2.20,-,7.80%,28.56%,0.09,-,2.20,2354.40%,-,54.04,10.11%,8.05%,No,0.00,13.40%,-,1.06,1.27,Yes,0.00,-,-,210.44K,2.00,9.69%,-1.64%,-31.27%
233,LOCL,Local Bounti Corporation,Consumer Defensive,Farm Products,USA,114000000.0,,0.95,-0.08650000000000001,219088.0,Top Losers,1,-,-1.30,11.50%,89.25M,-1.83%,-,-0.91,28.37%,38.99M,-20.83%,-112.80M,-,-0.27,16.60%,10.16% / 14.01,-66.55%,13.20M,8.64,-566.10%,8.65%,3.96M,-78.41%,1.34,0.78,26.60%,-56.60%,7.94,-82.28%,0.04,27.14,-,-101.80%,0.89,9.66,-31.65%,-,-,-,-36.70%,-90.17%,-,-,2.00,-,11.20%,7.32%,0.11,111,2.20,3852.80%,-,34.41,9.57%,9.61%,Yes,1.07,-142.00%,-,0.78,1.04,No,1.07,Nov 10 BMO,-,282.58K,2.00,-8.36%,-36.51%,-70.49%
234,SWVL,Swvl Holdings Corp.,Technology,Software - Application,United Arab Emirates,16840000.0,,2.86,-0.0863,199035.0,"['Top Losers', 'Most Volatile']",2,-,-50.35,54.20%,4.25M,-9.49%,-,-5.12,0.00%,3.12M,-56.44%,-220.50M,-,-,9.50%,1.99% / 0.16,-76.46%,66.20M,0.25,-375.70%,-,0.06M,-93.75%,-6.01,-,84.00%,-,120.83,-98.85%,4.52,0.69,-,-,2.06,285.00,-16.50%,-,-,-,939.20%,-99.00%,-,-,0.70,-,-24.40%,38.67%,0.77,606,0.70,390.40%,-,33.97,5.63%,15.66%,Yes,-,-,-,0.52,3.13,Yes,-,-,-,385.78K,2.00,-32.70%,-45.21%,-94.93%
235,DNA,"Ginkgo Bioworks Holdings, Inc.",Healthcare,Biotechnology,USA,3250000000.0,,1.83,-0.085,16872024.0,"['Top Losers', 'Most Active', 'Wedge Down']",3,-,-2.23,5.40%,1.63B,-8.50%,-,-0.36,-41.55%,573.64M,17.31%,-3529.00M,-,-0.21,88.00%,21.88% / 5.39,-23.43%,527.90M,6.16,-6.90%,5.97%,125.51M,-41.53%,0.88,2.27,74.10%,-176.60%,4.92,-70.00%,0.80,2.50,-,-233.10%,1.45,6.30,8.28%,-,-,-,-119.60%,-70.95%,-,-,11.70,-,54.40%,26.21%,0.17,641,11.70,-14.40%,-,48.52,8.30%,9.83%,Yes,0.04,-433.00%,-,0.72,2.00,Yes,0.04,Nov 14 AMC,-,23.30M,2.10,-1.53%,2.46%,-29.37%
236,TRVG,trivago N.V.,Communication Services,Internet Content & Information,Germany,719110000.0,,1.73,-0.08470000000000001,664731.0,Top Losers,1,-,-0.38,-,360.61M,-2.26%,8.59,0.22,-,26.32M,21.83%,-133.60M,-,0.04,29.20%,2.85% / 1.63,50.43%,566.50M,1.27,104.20%,0.13%,0.75M,-0.57%,1.72,1.10,157.90%,-15.30%,1.68,-22.77%,0.81,2.34,37.71%,-19.00%,0.93,2.76,28.15%,-,7.32,16.40%,-0.40%,-37.32%,1.58,-,6.00,-13.70%,97.70%,86.02%,0.11,809,6.00,32.50%,-24.10%,53.52,7.61%,6.35%,Yes,0.00,-,-23.60%,1.45,1.89,Yes,0.00,Feb 07 AMC,-,458.74K,3.10,0.80%,14.67%,15.66%
237,PERI,Perion Network Ltd.,Communication Services,Internet Content & Information,Israel,1500000000.0,19.63,30.71,-0.08439999999999999,2732481.0,"['Top Losers', 'Unusual Volume', 'Earnings Before']",3,-,1.71,36.50%,45.15M,-8.25%,18.26,1.84,0.00%,40.84M,7.68%,78.20M,-,0.59,45.30%,1.39% / 1.10,38.40%,588.60M,2.55,188.20%,5.47%,0.57M,50.54%,11.94,2.81,-1.13%,10.80%,34.10,43.77%,8.72,3.84,-,15.70%,16.41,35.16,21.38%,-,13.41,55.80%,8.40%,-12.66%,1.31,-,2.80,8.90%,95.20%,87.20%,1.30,420,2.80,31.10%,15.10%,48.93,2.86%,3.55%,Yes,0.00,90.00%,13.30%,5.32,33.54,Yes,0.00,Feb 08 BMO,0.00%,513.56K,1.70,-2.81%,8.38%,35.47%
238,UA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,5210000000.0,22.02,9.88,-0.0843,8395848.0,"['Top Losers', 'Most Volatile', 'Earnings Before']",3,-,0.49,15.59%,229.10M,-11.55%,-,-,0.00%,192.42M,4.33%,-,1.01,-,66.57%,4.78% / 3.31,36.65%,5.23B,1.00,-,-,9.19M,18.18%,4.02,2.69,-,-,-,-40.41%,-,-,21.80%,-,5.74,17.75,10.76%,-,-,-3.65%,-,-44.32%,-,-,-,-,-,72.13%,0.47,-,-,1.80%,-,44.90,3.92%,3.64%,Yes,-,-23.40%,-,3.02,10.79,Yes,-,Feb 08 BMO,-,2.78M,3.00,-5.86%,4.58%,14.68%
239,AUR,"Aurora Innovation, Inc.",Technology,Information Technology Services,USA,2150000000.0,,1.74,-0.0842,1948498.0,Top Losers,1,-,-1.49,0.20%,1.15B,-11.68%,-,-0.78,-5.95%,331.73M,34.88%,-1680.90M,-,-0.17,40.60%,3.22% / 4.46,-5.43%,92.60M,23.17,-212.10%,-6.69%,10.69M,-28.69%,1.76,1.08,-2.60%,-56.60%,4.46,-66.60%,1.10,1.73,-,-61.90%,1.10,6.54,43.80%,-,-,-,-21.70%,-73.39%,-,-,16.50,-,-,58.18%,0.15,1600,16.50,-94.80%,-,56.18,11.04%,9.56%,Yes,0.00,-28.30%,-,0.81,1.90,Yes,0.00,Feb 15 AMC,-,2.40M,2.50,8.75%,25.47%,-24.18%
240,KYMR,"Kymera Therapeutics, Inc.",Healthcare,Biotechnology,USA,2140000000.0000002,,34.29,-0.0839,429977.0,Top Losers,1,-,-2.94,11.00%,54.54M,-6.29%,-,-2.73,-18.70%,50.98M,26.86%,-153.80M,-,-0.63,98.50%,18.46% / 12.38,18.08%,46.00M,46.57,-70.00%,3.93%,9.41M,12.98%,9.40,3.98,7.20%,-26.40%,55.62,-16.49%,8.42,4.44,1.90%,-34.20%,13.15,46.22,37.38%,-,-,-,-21.80%,-25.81%,-,-,5.40,-,-,160.76%,2.28,169,5.40,-52.70%,-,50.86,5.53%,6.76%,Yes,0.00,-39.90%,-,0.57,37.43,Yes,0.00,Feb 23 BMO,-,760.46K,2.10,-3.00%,12.62%,33.79%
241,MGOL,MGO Global Inc.,Communication Services,Advertising Agencies,USA,31450000.0,,1.97,-0.0837,686157.0,"['Top Losers', 'New Low']",2,-,-0.14,61.33%,13.41M,-26.77%,-,-,0.00%,5.19M,-,-1.80M,-,-,-,0.00% / 0.00,-,0.70M,44.94,36.30%,-,0.00M,-,-0.09,-,-,-,-,-,0.00,-,-,-,2.12,16.61,-57.63%,-,-,-,438.80%,-88.14%,-,-,0.10,-,-49.40%,-7.08%,1.11,4,0.10,-50.00%,-,-,11.12%,-,No,-,-,-,0.21,2.15,Yes,-,-,-,3.23M,-,-35.41%,-35.41%,-35.41%
242,IMPL,Impel Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,74310000.0,,2.75,-0.0833,29252.0,Top Losers,1,-,-4.63,1.17%,23.71M,-20.75%,-,-3.09,0.00%,23.47M,-32.93%,-108.00M,-,-1.11,64.00%,0.75% / 4.28,-28.39%,8.20M,9.06,-120.10%,0.53%,0.18M,-66.71%,-0.94,-,34.00%,-91.70%,20.25,-65.58%,3.22,0.93,-,-701.30%,2.52,10.75,-26.67%,-,-,-,-89.70%,-74.42%,-,-,4.50,-,42.60%,9.13%,0.23,129,5.00,3286.80%,-,28.44,5.86%,6.13%,No,-,-5.60%,-,0.71,3.00,Yes,-,Nov 14 BMO,-,41.22K,2.00,-21.07%,-18.78%,-52.82%
243,ILAG,Intelligent Living Application Group Inc.,Industrials,Building Products & Equipment,Hong Kong,30580000.0,,1.55,-0.0828,104009.0,Top Losers,1,-,-,51.83%,18.06M,-9.88%,-,-,0.00%,8.70M,-4.32%,-,-,-,0.14%,2.33% / 0.60,-31.42%,14.69M,2.08,-,-,0.20M,-57.30%,0.22,7.58,-,-,-,-,-,-,-,-,0.85,26.40,76.14%,-,-,-,-,-94.13%,-,-,-,-,-,82.35%,0.19,374,-,41.40%,-,47.32,10.87%,11.37%,No,-,-,-,0.31,1.69,Yes,-,-,-,337.54K,-,-6.10%,3.20%,-32.65%
244,PEAR,"Pear Therapeutics, Inc.",Healthcare,Health Information Services,USA,170860000.0,,1.11,-0.08259999999999999,135030.0,Top Losers,1,-,-0.89,4.40%,138.96M,1.83%,-,-0.52,-24.38%,116.27M,-7.50%,-112.70M,-,-0.22,73.40%,1.48% / 7.13,-57.95%,14.30M,11.95,-287.50%,5.76%,1.72M,-43.37%,0.38,3.18,16.10%,-,5.14,-74.48%,0.59,2.04,-,-,0.98,6.74,-5.93%,-,-,-,-90.00%,-83.53%,-,-,2.10,-,55.10%,13.21%,0.12,260,2.10,211.40%,-,41.14,9.01%,8.92%,Yes,0.53,-230.80%,-,0.56,1.21,Yes,0.00,Nov 14 AMC,-,240.82K,2.00,-4.23%,-20.57%,-50.07%
245,TELL,Tellurian Inc.,Energy,Oil & Gas E&P,USA,1250000000.0,,1.89,-0.0825,11508236.0,"['Top Losers', 'Most Active']",2,-,-0.25,13.56%,538.55M,-4.55%,51.50,0.04,0.00%,485.58M,1.61%,-122.10M,-,0.02,40.60%,17.97% / 8.03,-38.03%,311.00M,4.03,64.20%,-12.27%,87.28M,-46.61%,1.19,1.73,128.60%,-11.80%,4.63,-21.90%,1.00,2.06,-,-21.80%,1.54,6.53,12.50%,-,-,9.60%,-21.30%,-71.08%,2.28,-,2.10,-,49.90%,22.73%,0.16,107,2.10,419.90%,-25.30%,46.36,8.35%,7.52%,Yes,0.93,29.10%,-39.30%,1.06,2.06,Yes,0.67,Nov 02 BMO,-,10.87M,2.60,-3.52%,-7.80%,-41.03%
246,AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland,915640000.0,,2.01,-0.08220000000000001,6835929.0,"['Top Losers', 'Channel']",2,-,-0.23,0.30%,404.61M,8.06%,-,-0.13,0.00%,382.69M,35.81%,-92.00M,-,0.00,32.70%,3.85% / 3.40,53.44%,423.40M,2.16,140.70%,-7.13%,14.74M,42.55%,1.45,1.51,50.00%,-9.40%,3.57,-43.85%,0.73,3.01,38.90%,-14.90%,1.04,3.82,66.12%,-,-,15.40%,1.00%,-47.31%,1.87,-,1.60,35.00%,73.40%,93.27%,0.14,560,2.40,-36.70%,-18.90%,62.04,6.12%,8.54%,Yes,0.00,61.70%,-21.70%,1.58,2.19,Yes,0.00,-,-,4.34M,2.70,7.00%,35.39%,37.57%
247,UAA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,USA,5220000000.0,39.93,11.22,-0.0818,22418197.0,"['Top Losers', 'Most Volatile', 'Most Active', 'Earnings Before', 'Major News']",5,-,0.31,0.28%,454.32M,-12.21%,19.03,0.64,0.00%,381.36M,5.25%,144.70M,13.01,0.09,81.40%,6.09% / 2.98,35.84%,5.75B,0.91,-116.50%,-1.82%,23.22M,21.69%,4.00,3.06,40.48%,3.10%,11.93,-42.64%,2.00,6.12,3.07%,7.90%,6.38,20.65,10.43%,-,-,-42.60%,-2.30%,-45.65%,1.59,-,1.40,-23.60%,47.40%,75.86%,0.53,7100,2.10,1.80%,3.40%,45.18,4.13%,3.77%,Yes,0.37,-21.90%,2.50%,2.88,12.22,Yes,0.37,Feb 08 BMO,0.00%,7.79M,2.40,-5.70%,4.49%,16.41%
248,QLI,Qilian International Holding Group Limited,Healthcare,Drug Manufacturers - Specialty & Generic,China,52980000.0,58.8,1.35,-0.0816,11736.0,"['Top Losers', 'Most Volatile']",2,-,0.03,77.45%,35.75M,-22.41%,-,-,0.00%,8.06M,45.16%,0.90M,-,-,0.10%,0.10% / 0.78,20.54%,59.20M,0.89,-36.10%,5.88%,0.01M,-25.00%,1.55,0.95,-,1.30%,-,-41.30%,-,-,-,1.90%,0.70,2.16,82.70%,-,-,-,3.40%,-37.64%,-,-,1.30,-,7.40%,91.76%,0.16,283,1.90,15.50%,2.40%,51.89,10.41%,12.61%,No,0.23,-97.80%,1.50%,1.16,1.47,Yes,0.00,-,0.00%,10.16K,-,1.63%,18.49%,-5.07%
249,HTGM,"HTG Molecular Diagnostics, Inc.",Healthcare,Diagnostics & Research,USA,10830000.0,,4.29,-0.0814,257780.0,Top Losers,1,-,-29.30,10.90%,0.92M,-5.09%,-,-2.76,0.00%,0.73M,29.61%,-22.10M,-,-1.79,4.30%,7.08% / 0.03,-27.78%,6.80M,1.59,45.20%,-58.74%,0.05M,-68.08%,1.31,3.56,75.80%,-93.30%,10.00,-85.87%,2.80,1.67,-,-310.70%,2.38,35.40,7.52%,-,-,46.20%,-63.90%,-87.88%,1.02,-,1.30,11.70%,42.70%,79.92%,0.86,87,1.60,-48.00%,-,47.27,12.99%,15.41%,No,7.58,32.30%,-,0.16,4.67,Yes,4.08,-,-,1.59M,2.00,-1.88%,-11.47%,-48.07%
250,CRDF,"Cardiff Oncology, Inc.",Healthcare,Biotechnology,USA,84690000.0,,1.92,-0.08130000000000001,275809.0,Top Losers,1,-,-0.93,1.70%,43.33M,12.28%,-,-1.07,49.47%,41.40M,29.73%,-39.50M,-,-0.23,18.10%,2.42% / 3.97,45.45%,0.40M,211.72,33.00%,-11.87%,1.00M,-32.87%,2.61,0.80,-15.10%,-29.00%,8.00,-43.36%,2.82,0.74,-,-31.30%,1.13,3.55,37.14%,-,-,62.20%,-20.60%,-45.92%,1.71,-,14.50,-1.20%,-,69.91%,0.13,22,14.50,0.00%,-,60.46,9.05%,7.87%,Yes,0.00,-13.10%,-,1.09,2.09,Yes,0.00,Nov 03 AMC,-,252.21K,1.60,10.39%,24.76%,6.37%
251,FUBO,fuboTV Inc.,Communication Services,Broadcasting,USA,549210000.0,,2.49,-0.0812,8069687.0,Top Losers,1,-,-3.09,0.60%,195.32M,-11.70%,-,-2.10,-4.79%,186.17M,35.33%,-521.50M,-,-0.71,38.30%,25.01% / 4.55,-29.06%,919.80M,0.60,78.30%,-7.82%,46.57M,-31.22%,2.53,1.07,31.80%,-38.20%,4.40,-75.27%,1.49,1.82,-,-84.70%,1.61,11.89,43.10%,-,-,-,-35.50%,-79.06%,2.39,-,1.10,398.20%,-,54.66%,0.26,530,1.10,43.50%,-55.20%,51.81,12.22%,11.71%,Yes,0.85,-10.10%,-56.70%,0.79,2.71,Yes,0.83,Feb 24 BMO,-,10.25M,2.60,4.47%,9.39%,-21.68%
252,STAF,"Staffing 360 Solutions, Inc.",Industrials,Staffing & Employment Services,USA,6180000.0,,2.27,-0.081,180448.0,Top Losers,1,-,-48.23,15.09%,2.40M,-27.39%,2.25,1.10,0.00%,2.25M,-20.24%,-10.90M,-,0.10,2.40%,0.93% / 0.35,0.00%,225.90M,0.03,118.80%,76.47%,0.02M,-37.98%,8.45,0.29,173.80%,-12.70%,15.00,-72.98%,0.72,3.43,-,-52.70%,2.20,9.40,-19.50%,-,-,17.30%,38.60%,-75.85%,0.94,-,0.70,12.60%,17.10%,3.18%,0.31,200,0.70,39.20%,-3.20%,30.27,19.88%,9.57%,No,0.87,-99.40%,-4.80%,3.04,2.47,Yes,0.86,-,-,59.36K,2.00,-27.74%,-23.80%,-45.24%
253,DT,"Dynatrace, Inc.",Technology,Software - Application,USA,13550000000.0,489.49,44.09,-0.0809,11791406.0,"['Top Losers', 'Most Active', 'Unusual Volume']",3,-,0.10,0.70%,287.96M,-1.01%,48.55,0.99,-8.62%,193.68M,19.52%,28.60M,24.46,0.22,-,4.82% / 4.33,30.64%,1.10B,12.35,-31.80%,3.09%,9.34M,5.25%,5.09,9.42,14.62%,1.20%,48.55,-6.77%,1.50,32.07,20.01%,2.10%,29.41,49.55,15.12%,-,44.98,130.90%,3.90%,-11.02%,1.16,-,1.00,18.00%,80.70%,49.91%,1.98,3600,1.00,23.50%,8.30%,60.27,4.84%,3.65%,Yes,0.00,3.20%,2.60%,5.46,47.97,Yes,0.00,Feb 01 BMO,0.00%,2.16M,2.20,11.23%,14.39%,16.09%
254,VIR,"Vir Biotechnology, Inc.",Healthcare,Biotechnology,USA,3890000000.0,3.46,27.07,-0.0808,940848.0,"['Top Losers', 'Recent Insider Selling']",2,-,8.50,1.70%,132.73M,-7.17%,-,-2.21,-60.21%,115.10M,3.76%,1.14B,0.49,-0.40,76.10%,3.24% / 4.61,-0.62%,2.38B,1.64,258.00%,-5.45%,3.73M,-6.14%,16.20,1.82,-151.80%,45.00%,54.43,-21.38%,17.76,1.66,7.00%,60.70%,18.05,34.67,6.95%,-,2.48,-,27.90%,-21.93%,-,-,7.80,-,91.70%,49.97%,1.32,444,7.80,261.60%,-,44.03,3.53%,4.52%,Yes,0.00,57.50%,48.00%,1.16,29.45,Yes,0.00,Nov 03 AMC,0.00%,808.71K,2.10,-5.24%,0.22%,8.39%
255,CWBR,"CohBar, Inc.",Healthcare,Biotechnology,USA,7960000.0,,2.41,-0.0802,11137.0,"['Top Losers', 'Most Volatile']",2,-,-3.95,0.20%,2.90M,-4.37%,-,-3.92,0.00%,2.47M,15.87%,-11.20M,-,-0.90,7.20%,2.23% / 1.83,8.56%,-,-,30.30%,-8.37%,0.05M,-53.02%,6.46,0.41,-3.70%,-48.40%,18.00,-74.66%,6.02,0.44,-,-50.70%,1.50,10.50,42.19%,-,-,-4.80%,-,-77.05%,1.89,-,34.80,-,-,60.67%,0.24,9,34.80,-,-,55.64,10.10%,9.80%,No,0.00,48.70%,-,0.37,2.62,Yes,0.00,Nov 08 AMC,-,30.06K,3.00,6.45%,24.35%,-39.72%
256,AREN,"The Arena Group Holdings, Inc.",Communication Services,Internet Content & Information,USA,166180000.0,,9.55,-0.08,33760.0,"['Top Losers', 'Most Volatile']",2,-,-4.86,2.20%,18.29M,7.91%,-,-2.23,0.00%,15.01M,19.38%,-76.30M,-,-0.77,57.00%,1.52% / 6.08,-31.93%,241.20M,0.69,84.30%,8.50%,0.23M,-6.83%,-2.44,-,43.10%,-43.60%,17.50,-5.63%,0.83,12.50,-,197.20%,7.43,16.50,-9.99%,-,-,11.30%,-261.60%,-42.12%,0.24,-,0.60,-,40.80%,28.53%,0.79,333,0.60,11.90%,-27.90%,49.60,7.26%,7.20%,Yes,-,58.00%,-31.60%,0.90,10.38,Yes,-,Nov 09 AMC,-,37.64K,2.00,7.66%,-10.14%,-16.15%
257,ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,USA,35630000000.0,,198.5,-0.0799,2483148.0,Top Losers,1,S&P 500,-26.46,0.10%,157.00M,-8.32%,104.17,2.07,-2.67%,156.75M,-4.25%,-4153.00M,-,0.18,91.10%,2.43% / 3.20,-8.61%,4.70B,7.58,13.90%,2.62%,3.81M,-7.59%,42.87,5.03,-6.92%,-29.00%,243.50,-44.23%,6.30,34.22,-,-42.80%,173.45,371.16,-1.83%,-,137.56,10.10%,-2.00%,-46.52%,1.14,-,0.70,13.50%,66.30%,14.44%,9.66,9800,0.90,0.60%,-85.40%,43.62,4.03%,4.39%,Yes,0.26,-,-88.40%,2.09,215.74,Yes,0.07,Feb 07 AMC,-,1.19M,2.80,-5.03%,-3.90%,-7.66%
258,AMPG,"AmpliTech Group, Inc.",Technology,Communication Equipment,USA,24630000.0,,2.55,-0.0794,31027.0,Top Losers,1,-,-0.27,2.20%,9.63M,4.94%,36.93,0.07,5.39%,6.45M,13.84%,-2.60M,-,-0.07,6.50%,1.81% / 2.49,9.44%,17.80M,1.38,92.70%,-14.37%,0.12M,8.05%,3.07,0.90,-,-7.20%,6.50,-6.25%,-,-,-,-8.90%,1.62,3.98,20.28%,-,-,-47.70%,-16.60%,-35.93%,1.28,-,6.70,21.00%,42.60%,57.40%,0.17,34,9.20,390.90%,-15.80%,57.29,8.55%,6.67%,No,0.01,193.60%,-14.60%,0.66,2.77,Yes,0.01,Nov 14 BMO,-,46.96K,2.00,6.01%,13.41%,15.19%
259,EYPT,"EyePoint Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,163120000.0,,4.18,-0.0793,140720.0,Top Losers,1,-,-2.17,0.10%,37.34M,-12.00%,-,-2.63,0.00%,30.42M,27.83%,-78.20M,-,-0.61,89.10%,6.63% / 8.50,-20.08%,42.40M,3.85,42.60%,-0.40%,2.02M,-61.37%,3.65,1.24,-20.60%,-32.50%,32.33,-57.04%,4.38,1.04,-,-49.00%,2.19,14.41,19.43%,-,-,17.20%,-,-70.99%,0.97,-,5.50,37.40%,81.30%,90.87%,0.39,122,5.60,9.90%,-,48.27,7.55%,10.72%,Yes,0.29,15.00%,-,0.59,4.54,Yes,0.21,Nov 02 BMO,-,237.33K,1.80,-6.73%,14.82%,-41.62%
260,SNTI,"Senti Biosciences, Inc.",Healthcare,Biotechnology,USA,82510000.0,,1.66,-0.07919999999999999,106468.0,Top Losers,1,-,-0.17,0.10%,29.47M,-8.43%,-,-1.52,0.00%,24.88M,3.59%,-5.20M,-,-0.44,31.00%,2.51% / 2.96,-27.62%,5.02M,16.44,-,-4.55%,0.63M,-19.15%,7.46,0.24,27.30%,-2.20%,5.67,-83.19%,0.01,206.28,-,-2.30%,1.20,10.00,17.55%,-,-,-,-,-83.42%,-,-,0.20,-,-,38.12%,0.16,89,0.20,60.10%,-,43.14,8.68%,10.14%,No,0.00,-,-,0.50,1.80,Yes,0.00,-,-,211.04K,2.20,-9.97%,-6.26%,-51.52%
