,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Signals,NoOf Signals,Description
506,PLBC,Plumas Bancorp,Financial,Banks - Regional,USA,251840000.0,9.7,43.42,-0.0073,34692.0,New High,1,"Plumas Bancorp operates as the bank holding company for the Plumas Bank that provides various banking products and services for small and middle market businesses, and individuals in Northeastern California and Northwestern Nevada. The company accepts various deposits, such as checking, money market checking, business sweep, public funds sweep, savings, time deposit, and retirement accounts. Its loan portfolio includes term real estate, commercial, and industrial term loans; government-guaranteed and agricultural loans, as well as credit lines; consumer, automobile, and home equity loans; land development and construction loans; and small business administration loans. The company also provides remote deposit, telephone and mobile banking, internet banking with bill-pay options, cashier's check, bank-by-mail, automated teller machine, night depository, safe deposit box, direct deposit, electronic funds transfer, and other customary banking services. As of February 28, 2022, it operated 14 full-service branches and 3 lending offices. Plumas Bancorp was incorporated in 1980 and is headquartered in Reno, Nevada."
507,TBBK,"The Bancorp, Inc.",Financial,Banks - Regional,USA,1950000000.0,15.68,35.68,-0.0006,202563.0,New High,1,"The Bancorp, Inc. operates as the financial holding company for The Bancorp Bank that provides banking products and services in the United States. The company offers a range of deposit products and services, including checking, savings, money market, and commercial accounts; and prepaid and debit cards. It also provides securities-backed lines of credit and insurance policy cash value-backed lines of credit; institutional banking services; vehicle fleet, other equipment leasing, and commercial fleet leasing services consist of commercial vehicles, including trucks and special purpose vehicles, and equipment; and real estate bridge lending, as well as small business administration, commercial mortgage-backed, and commercial real estate loans. The company offers private label banking; credit and debit card payment processing services for independent service organizations; and internet banking services. The Bancorp, Inc. was incorporated in 1999 and is headquartered in Wilmington, Delaware."
508,OCFC,OceanFirst Financial Corp.,Financial,Banks - Regional,USA,1460000000.0,10.27,24.88,0.0102,191810.0,New High,1,"OceanFirst Financial Corp. operates as the bank holding company for OceanFirst Bank N.A. that provides community banking services. It accepts money market accounts, savings accounts, interest-bearing checking accounts, non-interest-bearing demand deposits, and time deposits to retail, government, and business customers. The company also offers commercial real estate, multi-family, land loans, construction, and commercial and industrial loans; fixed-rate and adjustable-rate mortgage loans that are secured by one-to-four family residences; and consumer loans, such as home equity loans and lines of credit, student loans, overdraft line of credit, loans on savings accounts, and other consumer loans. In addition, it invests in mortgage-backed securities, securities issued by the U.S. Government and agencies, corporate securities, and other investments. Further, the company offers bankcard, wealth management, and trust and asset management services; and sells alternative investment products and life insurance products. As of December 31, 2021, it operated through its branch office in Toms River; administrative office located in Red Bank and Mount Laurel; 46 additional branch offices and four deposit production facilities located throughout central and southern New Jersey; and commercial loan production offices in New Jersey, New York City, the Philadelphia area, Baltimore, and Boston. The company was founded in 1902 and is based in Red Bank, New Jersey."
509,ICNC,Iconic Sports Acquisition Corp.,Financial,Shell Companies,United Kingdom,450050000.0,14.84,10.43,0.001,696071.0,"['New High', 'Unusual Volume', 'Overbought']",3,"Iconic Sports Acquisition Corp. does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, share purchase, reorganization, or similar business combination. The company focuses on acquiring business in the global sports industry. Iconic Sports Acquisition Corp. was incorporated in 2021 and is based in London, the United Kingdom."
510,GIB,CGI Inc.,Technology,Information Technology Services,Canada,18940000000.0,19.84,91.58,0.0078000000000000005,175592.0,New High,1,"CGI Inc., together with its subsidiaries, provides information technology (IT) and business process services in Canada; Western, Southern, Central, and Eastern Europe; Australia; Scandinavia; Finland, Poland, and Baltics; the United States; the United Kingdom; and the Asia Pacific. Its services include the management of IT and business outsourcing, systems integration and consulting, and software solutions selling activities. The company also provides application development, integration and maintenance, testing, portfolio management, and modernization services; business consulting; and a suite of business process services designed to address the needs of specific industries, as well as IT infrastructure services. It serves clients operating in government, banking and capital market, health, utility, communication and media, oil and gas, retail, consumer and services, space, manufacturing, insurance, life sciences, retail and consumer service, and transportation and logistics sectors. The company was formerly known as CGI Group Inc. and changed its name to CGI Inc. in January 2019. CGI Inc. was founded in 1976 and is headquartered in Montreal, Canada."
512,DNOW,NOW Inc.,Energy,Oil & Gas Equipment & Services,USA,1590000000.0,14.64,14.27,0.0229,692693.0,New High,1,"NOW Inc. distributes downstream energy and industrial products for petroleum refining, chemical processing, LNG terminals, power generation utilities, and industrial manufacturing operations in the United States, Canada, and internationally. The company offers its products under the DistributionNOW and DNOW brand names. It provides consumable maintenance, repair, and operating supplies; pipes, valves, fittings, flanges, gaskets, fasteners, electrical products, instrumentations, artificial lift, pumping solutions, valve actuation and modular process, and measurement and control equipment; and mill supplies, tools, safety supplies, and personal protective equipment, as well as applied products and applications, such as artificial lift systems, coatings, and miscellaneous expendable items. The company also offers original equipment manufacturer equipment, including pumps, generator sets, air and gas compressors, dryers, blowers, mixers, and valves; modular oil and gas tank battery solutions; and application systems, work processes, parts integration, optimization solutions, and after-sales support services. In addition, it provides supply chain and materials management solutions that include procurement, inventory planning and management, and warehouse management, as well as solutions for logistics, point-of-issue technology, project management, business process, and performance metrics reporting services. The company serves customers through a network of approximately 180 locations in the upstream, midstream, and downstream sectors of the energy industry, including drilling contractors, well-servicing companies, independent and national oil and gas companies, midstream operators, and refineries, as well as petrochemical, chemical, utilities, and other downstream energy processors; and industrial and manufacturing companies. NOW Inc. was founded in 1862 and is headquartered in Houston, Texas."
513,PINE,"Alpine Income Property Trust, Inc.",Real Estate,REIT - Diversified,USA,243510000.0,8.3,20.48,0.0049,74882.0,New High,1,"Alpine Income Property Trust, Inc. (NYSE: PINE) is a publicly traded real estate investment trust that acquires, owns and operates a portfolio of high-quality single-tenant net leased commercial income properties."
514,TRNS,"Transcat, Inc.",Industrials,Industrial Distribution,USA,636850000.0,66.21,87.6,0.019,73855.0,"['New High', 'Channel']",2,"Transcat, Inc. provides calibration and laboratory instrument services in the United States, Canada, and internationally. It operates through two segments, Service and Distribution. The Service segment offers calibration, repair, inspection, analytical qualification, preventative maintenance, consulting, and other related services. This segment also provides CalTrak, a proprietary document and asset management software that is used to integrate and manage the workflow of its calibration service centers and customers' assets; and Compliance, Control and Cost, an online customer portal that provides its customers with web-based asset management capability, as well as a safe and secure off-site archive of calibration and other service records. The Distribution segment sells and rents test, measurement, and control instruments for customers' test and measurement instrumentation needs, as well as value added services, such as calibration/certification of equipment purchase, equipment rental, used equipment for sale, and equipment kitting. This segment markets and sells its products through website, digital and print advertising, proactive outbound sales, and an inbound call center. The company provides services and products to highly regulated industries, principally life science, which includes companies in the pharmaceutical, biotechnology, medical device, and other FDA-regulated industries; and additional industries, including aerospace and defense industrial manufacturing, energy and utilities, and other industries that require accuracy in processes and confirmation of the capabilities of their equipment. Transcat, Inc. was incorporated in 1964 and is headquartered in Rochester, New York."
515,GTX,Garrett Motion Inc.,Consumer Cyclical,Auto Parts,Switzerland,530450000.00000006,10.26,8.3,-0.0371,244438.0,New High,1,"Garrett Motion Inc., together with its subsidiaries, designs, manufactures, and sells turbocharger and electric-boosting technologies for light and commercial vehicle original equipment manufacturers worldwide. The company offers light vehicle gasoline and diesel, and commercial vehicle turbochargers; and provides automotive software solutions. It offers its products in the aftermarket through distributors. Garrett Motion Inc. was incorporated in 2018 and is headquartered in Rolle, Switzerland."
516,KSI,Kadem Sustainable Impact Corporation,Financial,Shell Companies,USA,220570000.0,85.51,10.09,0.0,102165.0,New High,1,"Kadem Sustainable Impact Corporation does not have significant operations. The company focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. It intends to engage in the business of electric vehicle, energy storage and distribution, and mobility technologies. The company was incorporated in 2020 and is based in New York, New York."
517,AFTR,AfterNext HealthTech Acquisition Corp.,Financial,Shell Companies,USA,569800000.0,22.77,10.11,-0.001,300206.0,"['New High', 'Unusual Volume']",2,"AfterNext HealthTech Acquisition Corp. does not have significant operations. It intends to effect a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or other similar business combination with one or more operating businesses or assets in the healthcare and technology industry. The company was incorporated in 2021 and is based in Fort Worth, Texas."
518,SGII,Seaport Global Acquisition II Corp.,Financial,Shell Companies,USA,184940000.0,23.05,10.28,0.0029,1601073.0,"['New High', 'Unusual Volume']",2,"Seaport Global Acquisition II Corp. does not have significant operations. It focuses on effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2021 and is based in New York, New York."
519,APCA,AP Acquisition Corp.,Financial,Shell Companies,Hong Kong,225090000.0,2610.0,10.44,0.001,970050.0,"['New High', 'Unusual Volume', 'Overbought']",3,"AP Acquisition Corp. does not have significant operations. The company focuses on effecting a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses in the de-carbonization/renewable energy sectors with a focus in Japan/Asia (excluding Mainland China, Hong Kong, and Macau) and European markets. The company was incorporated in 2021 and is based in Central, Hong Kong."
520,TXO,"TXO Energy Partners, L.P.",Energy,Oil & Gas E&P,USA,689700000.0,16.54,22.99,0.0039000000000000003,77058.0,New High,1,"TXO Energy Partners, L.P. engages in the acquisition, development, optimization, and exploitation of conventional oil, natural gas, and natural gas liquid reserves in North America. As of July 31, 2022, it had working interest in the 850,009 gross acres located in the United States primarily in the San Juan Basin of New Mexico and Colorado, and the Permian Basin of West Texas and New Mexico. The company was founded in 2012 and is based in Fort Worth, Texas."
521,GHM,Graham Corporation,Industrials,Specialty Industrial Machinery,USA,127610000.0,,12.13,0.043,57749.0,New High,1,"Graham Corporation, together with its subsidiaries, designs and manufactures fluid, power, heat transfer, and vacuum equipment for chemical and petrochemical processing, defense, space, petroleum refining, cryogenic, energy, and other industries. It offers power plant systems comprising ejectors and surface condensers; torpedo ejection and power systems, such as turbines, alternators, regulators, pumps, and blowers; and thermal management systems, including pumps, blowers, and electronics for defense sector. The company also provides rocket propulsion systems, such as turbopumps and fuel pumps; cooling systems comprising pumps, compressors, fans, and blowers; and life support systems, including fans, pumps, and blowers for space industry. In addition, it offers heat transfer and vacuum systems comprising ejectors, process condensers, surface condensers, liquid ring pumps, heat exchangers, and nozzles; power generation systems, including turbines, generators, compressors, and pumps; and thermal management systems, such as pumps, blowers, and electronics for energy sector. Further, the company offers heat transfer and vacuum systems, such as ejectors, process condensers, surface condensers, liquid ring pumps, heat exchangers, and nozzles for chemical and petrochemical processing industry. The company also services and sells spare parts for its equipment. It sells its products directly in the United States, the Middle East, Canada, Asia, South America, and internationally. Graham Corporation was founded in 1936 and is headquartered in Batavia, New York."
522,OPA,Magnum Opus Acquisition Limited,Financial,Shell Companies,Hong Kong,254050000.0,26.42,10.17,0.0007000000000000001,2137827.0,"['New High', 'Unusual Volume']",2,"Magnum Opus Acquisition Limited does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or related business combination with one or more businesses. The company was founded in 2021 and is based in Central, Hong Kong."
523,CRDO,Credo Technology Group Holding Ltd,Technology,Communication Equipment,USA,2780000000.0,,18.73,0.0163,1591374.0,New High,1,"Credo Technology Group Holding Ltd provides various high-speed connectivity solutions for optical and electrical Ethernet applications in the United States, Mexico, Mainland China, Hong Kong, and internationally. Its products include integrated circuits, active electrical cables, and SerDes chiplets that are based on its serializer/deserializer and digital signal processor technologies. The company also offers intellectual property solutions consist of SerDes IP licensing. The company was founded in 2008 and is headquartered in San Jose, California."
524,KCGI,Kensington Capital Acquisition Corp. V,Financial,Shell Companies,USA,355180000.0,32.27,10.3,0.001,14685.0,New High,1,"Kensington Capital Acquisition Corp. V does not have significant operations. It intends to effect a merger, share exchange, asset acquisition, share purchase, reorganization, or similar business combination with one or more businesses. The company was incorporated in 2021 and is based in Westbury, New York."
525,NRP,Natural Resource Partners L.P.,Energy,Thermal Coal,USA,671460000.0,3.73,54.15,0.0017000000000000001,41524.0,New High,1,"Natural Resource Partners L.P., through its subsidiaries, owns, manages, and leases a portfolio of mineral properties in the United States. It operates through two segments, Mineral Rights and Soda Ash. The company owns interests in coal, soda ash, trona, and other natural resources. Its coal reserves are primarily located in Appalachia, the Illinois Basin, and the Northern Powder River Basin in the United States; industrial minerals and aggregates properties are located in the United States; oil and gas properties located in Louisiana; timber assets located in West Virginia; and trona ore mining operation and soda ash refinery are located in the Green River Basin, Wyoming. The company leases a portion of its reserves in exchange for royalty payments; and owns and leases transportation and processing infrastructure related to coal properties. NRP (GP) LP serves as the general partner of the company. Natural Resource Partners L.P. was incorporated in 2002 and is headquartered in Houston, Texas."
526,ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,USA,2620000000.0,31.99,101.05,0.0131,99870.0,New High,1,"ESCO Technologies Inc. produces and supplies engineered products and systems for industrial and commercial markets worldwide. It operates through Aerospace & Defense, Utility Solutions Group, and RF Shielding and Test segments. The Aerospace & Defense segment designs and manufactures filtration products, including hydraulic filter elements and fluid control devices used in commercial aerospace applications; filter mechanisms used in micro-propulsion devices for satellites; and custom designed filters for manned aircraft and submarines. It also designs, develops, and manufactures elastomeric-based signature reduction solutions for U.S. naval vessels; and mission-critical bushings, pins, sleeves, and precision-tolerance machined components for landing gear, rotor heads, engine mounts, flight controls, and actuation systems for the aerospace and defense industries. The Utility Solutions Group segment provides diagnostic testing solutions that enable electric power grid operators to assess the integrity of high-voltage power delivery equipment; and decision support tools for the renewable energy industry, primarily wind and solar. The RF Shielding and Test segment designs and manufactures RF test and secure communication facilities, acoustic test enclosures, RF and magnetically shielded rooms, RF measurement systems, and broadcast and recording studios; and RF absorptive materials and filters, active compensation systems, antennas, antenna masts, turntables, electric and magnetic probes, RF test cells, proprietary measurement software, and other test accessories to perform various tests. It also provides services, such as calibration for antennas and field probes, chamber certification, field surveys, customer training, and various product tests. The company distributes its products through a network of distributors, sales representatives, direct sales teams, and in-house sales personnel. The company was incorporated in 1990 and is based in St. Louis, Missouri."
527,FTV,Fortive Corporation,Technology,Scientific & Technical Instruments,USA,24080000000.0,33.06,69.33,0.005699999999999999,2091243.0,New High,1,"Fortive Corporation designs, develops, manufactures, markets, and services professional and engineered products, software, and services worldwide. Its Intelligent Operating Solutions segment offers connected reliability tools; environment, health, safety, and quality enterprise software products; facility and asset lifecycle software; pre-construction planning and construction procurement solutions; ruggedized professional test tools; electric, pressure, and temperature calibration tools; and portable gas detection tools for a range of vertical end markets including manufacturing, process industries, healthcare, utilities and power, communications and electronics, and others. It markets its products and services under the ACCRUENT, FLUKE, GORDIAN, INDUSTRIAL SCIENTIFIC, INTELEX, PRUFTECHNIK, and SERVICECHANNEL brands. The company's Precision Technologies segment provides electrical test and measurement instruments and services; energetic material devices; and sensor and control system solutions for power and energy, medical equipment, food and beverage, aerospace and defense, off-highway vehicles, electronics, semiconductors, and other general industrial markets. This segment markets its products under the ANDERSON-NEGELE, GEMS, SETRA, HENGSTLER-DYNAPAR, QUALITROL, PACIFIC SCIENTIFIC, KEITHLEY, and TEKTRONIX brands. Its Advanced Healthcare Solutions segment offers hardware and software products and services, including instrument and device reprocessing, instrument tracking, biomedical test tools, radiation safety monitoring, and asset management services; subscription-based surgical inventory management systems to facilitate inventory management and regulatory compliance, as well as technical, analytical, and compliance services to determine radiation exposure services under the ASP, CENSIS, CENSITRAC, EVOTECH, FLUKE BIOMEDICAL, INVETECH, LANDAUER, RAYSAFE, and STERRAD brands. Fortive Corporation was incorporated in 2015 and is headquartered in Everett, Washington."
531,OWLT,"Owlet, Inc.",Healthcare,Medical Devices,USA,44410000.0,,0.36,-0.0548,1545260.0,"['New Low', 'Unusual Volume']",2,"Owlet, Inc. operates as a digital parenting platform in the United States. The company's platform focuses on giving real-time data and insights to parents. Its products include Smart Sock, a baby monitor to track an infant's oxygen levels, heart rates, and sleep trends; Dream Sock, an app to assist children for better sleep; Cam, a video streaming app to hear and see baby from anywhere; and Dream Lab, an interactive online platform that assists families in building healthy sleep habits. The company also offers Dream Duo, a monitoring system for baby's sleeping habits and includes wearable sock monitor, HD video, and digital sleep coach. Owlet, Inc. was founded in 2012 and is based in Lehi, Utah."
534,AUID,authID Inc.,Technology,Software - Infrastructure,USA,11700000.0,,0.47,-0.2377,416737.0,"['New Low', 'Unusual Volume']",2,"authID Inc. operates an Identity as a Service (IDaaS) platform that delivers a suite of secure, mobile, and biometric identity solutions worldwide. The company develops an IDaaS platform to enable users to verify and authenticate their identity through a mobile phone or desktop with camera. It provides VERIFIED, a multi-factor authentication solution designed to provide a secure and convenient application for identity verification and transaction consent; PROOF, which establishes the trusted identity of users based on chip based electronic machine-readable travel documents, national IDs, and drivers licenses, as well as direct verification by national registries and other international databases; AUTHENTIFID that delivers FIDO2 authentication for password less login and transaction authentication tied to a trusted identity; and IDENTITY  PORTAL, which allows an enterprise to enroll customers using the Ipsidy portal. The company also offers SEARCH, a biometric matching software for desktop fingerprint capture and image processing; CARDPLUS, a secure plastic identity credentials and loyalty card products. In addition, it provides payment processing solutions, such as TRANXA, a multi-application payment gateway and switch that provides payment solutions for online retailers and physical merchant locations; and an unattended kiosk application and backend management system, which is integrated with a transit ticketing system. The company was formerly known as Ipsidy Inc. and changed its name to authID Inc. authID Inc. was founded in 2009 and is headquartered in Denver, Colorado."
538,ASST,Asset Entities Inc. Class B Common Stock,Communication Services,Internet Content & Information,USA,,,2.43,-0.0471,144059.0,New Low,1,No Description
539,ASTI,"Ascent Solar Technologies, Inc.",Technology,Solar,USA,37780000.0,,1.06,-0.045,1735706.0,"['New Low', 'Unusual Volume']",2,"Ascent Solar Technologies, Inc. designs, manufactures, and sells copper-indium-gallium-diselenide photovoltaic products for aerospace, defense, emergency management, and consumer/OEM applications. It offers outdoor solar chargers. The company markets and sells its products through OEMs, system integrators, distributors, retailers, and e-commerce companies. Ascent Solar Technologies, Inc. was incorporated in 2005 and is based in Thornton, Colorado."
541,ASPU,"Aspen Group, Inc.",Consumer Defensive,Education & Training Services,USA,7300000.0,,0.24,0.0755,601778.0,New Low,1,"Aspen Group, Inc., an education technology company, provides online higher education services in the United States. The company offers baccalaureate, master's, and doctoral degree programs in nursing and health sciences, business and technology, arts and sciences, and education fields through Aspen University and United States University. As of April 30, 2022, it had 13,334 degree-seeking students enrolled. Aspen Group, Inc. was founded in 1987 and is based in New York, New York."
542,SMLR,"Semler Scientific, Inc.",Healthcare,Medical Devices,USA,173290000.0,14.73,23.26,-0.0506,414955.0,"['New Low', 'Unusual Volume']",2,"Semler Scientific, Inc. provides technology solutions to improve the clinical effectiveness and efficiency of healthcare providers in the United States. The company's products include QuantaFlo, a four-minute in-office blood flow test that enables healthcare providers to use blood flow measurements as part of their examinations of a patient's vascular condition. Its products serve cardiologists, internists, nephrologists, endocrinologists, podiatrists, and family practitioners, as well as healthcare insurance plans, integrated delivery networks, independent physician groups, and companies contracting with the healthcare industry, such as risk assessment groups. The company offers its products through salespersons and distributors. Semler Scientific, Inc. was incorporated in 2007 and is headquartered in Santa Clara, California."
545,RGF,"The Real Good Food Company, Inc.",Consumer Defensive,Packaged Foods,USA,132150000.0,29.59,5.0,-0.047599999999999996,29132.0,"['New Low', 'Oversold']",2,"The Real Good Food Company, Inc., through its subsidiary, Real Good Foods, LLC operates as a health and wellness focused frozen food company in the United States. The company develops, manufactures, and markets foods designed to be high in protein, low in sugar, and made from gluten- and grain-free ingredients. It offers comfort foods, such as bacon wrapped stuffed chicken, chicken enchiladas, grain-free cheesy bread breakfast sandwiches, and various entree bowls under the Realgood Foods Co. brand name, as well as sells private-label products. The company serves retailers, which primarily sell its products through natural and conventional grocery, drug, club, and mass merchandise stores. It also sells its products through its e-commerce channel, which includes direct-to-consumer sales through its website, as well as through its retail customers' online platforms. The company was formerly known as Project Clean, Inc. and changed its name to The Real Good Food Company, Inc. in October 2021. The Real Good Food Company, Inc. was founded in 2016 and is based in Cherry Hill, New Jersey."
546,LFCR,"Lifecore Biomedical, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,169180000.0,,5.85,-0.0441,169374.0,New Low,1,"Lifecore Biomedical, Inc., together with its subsidiaries, operates as an integrated contract development and manufacturing organization in the United States and internationally. It operates through Lifecore, Curation Foods, and Other segments. The Lifecore segment engages in the manufacture of pharmaceutical-grade sodium hyaluronate (HA) in bulk form, as well as formulated and filled syringes and vials for injectable products used in treating a range of medical conditions and procedures. It also provides services, including technology development, material component changes, analytical method development, formulation development, pilot studies, stability studies, process validation, and production of materials for clinical studies to its partners for HA-based and non-HA based aseptically formulated and filled products. This segment sells its non-HA products for medical use primarily in the ophthalmic, orthopedic, and other markets. The Curation Foods segment engages in processing, marketing, and selling of olive oils and wine vinegars under the O brand; and guacamole and avocado food products under the Yucatan and Cabo Fresh brands, as well as various private labels. The company was formerly known as Landec Corporation and changed its name to Lifecore Biomedical, Inc. in November 2022. Lifecore Biomedical, Inc. was incorporated in 1986 and is headquartered in Santa Maria, California."
547,PBLA,"Panbela Therapeutics, Inc.",Healthcare,Biotechnology,USA,9530000.0,,1.44,-0.04,1944284.0,New Low,1,"Panbela Therapeutics, Inc., a clinical-stage biopharmaceutical company, together with its subsidiaries, focuses on developing disruptive therapeutics for the treatment of patients with cancer. The company focuses on diseases of the pancreas, including pancreatitis and pancreatic cancer, as well as neoadjuvant pancreatic cancer, colorectal cancer, ovarian cancer, and other agents in other cancer indications. Its lead product candidate is SBP-101, which is in Phase Ia/Ib clinical trial for the treatment of patients with metastatic pancreatic ductal adenocarcinoma. The company was formerly known as Sun BioPharma, Inc. and changed its name to Panbela Therapeutics, Inc. in December 2020. Panbela Therapeutics, Inc. was incorporated in 2011 and is based in Waconia, Minnesota."
548,KAVL,"Kaival Brands Innovations Group, Inc.",Consumer Defensive,Tobacco,USA,39050000.0,,0.69,-0.0548,193655.0,New Low,1,"Kaival Brands Innovations Group, Inc. distributes electronic nicotine delivery systems (ENDS Products) and related components in the United States. The company offers Bidi Stick, a disposable and tamper-resistant ENDS Product in various flavor options; and Bidi Pouch, a tobacco-free nicotine formulation, which contains natural fibers and a chew-base filler in different flavors. It sells its products to non-retail customers through the website bidivapor.com. The company was formerly known as Quick Start Holdings, Inc. and changed its name to Kaival Brands Innovations Group, Inc. in July 2019. The company is based in Grant-Valkaria, Florida. Kaival Brands Innovations Group, Inc. is a subsidiary of Kaival Holdings, LLC."
549,CNC,Centene Corporation,Healthcare,Healthcare Plans,USA,41080000000.0,20.72,70.98,-0.0004,6482681.0,"['New Low', 'Earnings Before']",2,"Centene Corporation operates as a multi-national healthcare enterprise that provides programs and services to under-insured and uninsured individuals in the United States. Its Managed Care segment offers health plan coverage to individuals through government subsidized programs, including Medicaid, the State children's health insurance program, long-term services and support, foster care, and medicare-medicaid plans, which cover dually eligible individuals, as well as aged, blind, or disabled programs. Its health plans include primary and specialty physician care, inpatient and outpatient hospital care, emergency and urgent care, prenatal care, laboratory and X-ray, home-based primary care, transportation assistance, vision care, dental care, telehealth, immunization, specialty pharmacy, therapy, social work, nurse advisory, and care coordination services, as well as prescriptions and limited over-the-counter drugs, medical equipment, and behavioral health and abuse services. This segment also offers various individual, small group, and large group commercial healthcare products to employers and directly to members. The company's Specialty Services segment provides pharmacy benefits management services; nurse advice line and after-hours support services; vision and dental services, as well as staffing services to correctional systems and other government agencies; and services to Military Health System eligible beneficiaries. This segment offers its services and products to state programs, correctional facilities, healthcare organizations, employer groups, and other commercial organizations. The company provides its services through primary and specialty care physicians, hospitals, and ancillary providers. Centene Corporation was founded in 1984 and is headquartered in St. Louis, Missouri."
550,CREG,Smart Powerr Corp.,Industrials,Waste Management,China,13970000.0,,1.86,-0.051,86598.0,New Low,1,"Smart Powerr Corp. engages in the waste energy recycling business in China. The company provides energy saving and recovery facilities for various energy intensive industries; waste energy recycling systems for use in nonferrous metal plants; and clean-technology and energy-efficient solutions to reduce air pollution and energy shortage. It also designs, finances, constructs, and installs the waste energy recycling project to mid to large-size enterprises involved in high energy-consuming businesses; and provides project investment, investment management, economic information consulting, technical, financial leasing, and financial leasing transactions consulting services; purchases, repairs, and disposes financial leasing assets; sells and leases energy saving systems and equipment. In addition, the company offers waste gas-to-energy solutions comprising the waste gas power generation system that utilizes flammable waste gas to generate electricity; and flammable waste gases emitted from industrial production processes, such as blast furnace gas, coke furnace gas, oil or gas to power gas-fired generators, as well as uses the waste heat from burning the gas to make steam to generate electricity through a steam turbine. Further, it markets its projects to the industrial manufacturers to utilize energy recovery projects in their manufacturing processes, including steel, cement, nonferrous metal, coal, and petrochemical industries. The company was formerly known as China Recycling Energy Corporation and changed its name to Smart Powerr Corp. in March 2022. Smart Powerr Corp. was incorporated in 1980 and is headquartered in Xi'an, China."
551,CVKD,"Cadrenal Therapeutics, Inc.",Healthcare,Biotechnology,USA,25130000.0,,2.16,-0.04,70577.0,New Low,1,"Cadrenal Therapeutics, Inc. operates as a clinical development biopharmaceutical company. The company focuses on developing Tecarfarin, a novel therapy with orphan drug indication for the prevention of systemic thromboembolism of cardiac origin in patients with end-stage renal disease and atrial fibrillation. The company was incorporated in 2022 and is headquartered in Ponte Vedra, Florida."
552,JAGX,"Jaguar Health, Inc.",Healthcare,Biotechnology,USA,8400000.0,,4.49,-0.0088,288158.0,"['New Low', 'TL Resistance', 'Channel Down']",3,"Jaguar Health, Inc., a commercial stage pharmaceuticals company, focuses on developing prescription medicines for people and animals with gastrointestinal distress, specifically chronic, and debilitating diarrhea. The company operates through two segments, Human Health and Animal Health. It markets Mytesi for the symptomatic relief of noninfectious diarrhea in adults with HIV/AIDS on antiretroviral therapy. The company also develops Crofelemer for multiple possible follow-on indications, including cancer therapy-related diarrhea; orphan-drug indications for symptomatic relief of diarrhea in infants and children with congenital diarrheal disorders and for adult and pediatric patients for short bowel syndrome with intestinal failure with; supportive care for diarrhea relief in inflammatory bowel diseases; diarrhea-predominant irritable bowel syndrome; and for idiopathic/functional diarrhea. In addition, it develops lechlemer, a second-generation anti-secretory agent for cholera; and Canalevia, an oral plant-based drug candidate to treat chemotherapy-induced diarrhea in dogs and exercise-induced diarrhea in dogs. Jaguar Health, Inc. was founded in 2013 and is headquartered in San Francisco, California."
553,TIMB,TIM S.A.,Communication Services,Telecom Services,Brazil,5280000000.0,12.3,10.5,-0.0296,673212.0,New Low,1,"TIM S.A., a telecommunications company, provides mobile voice and data services, broadband internet access, value-added services, and other telecommunications services and products in Brazil. The company offers services for individuals, as well as corporate solutions for small, medium, and large companies. It also offers fixed-line ultra-broadband and TIM Live services, as well as WTTx technology through Ultrafibra services and IoT solutions. In addition, the company provides digital content and services in its portfolio of packages; sells various mobile handsets and accessories through its dealer network, which includes its own stores, exclusive franchises, and authorized dealers; and offers co-billing services to other telecommunication service providers. As of December 31, 2021, it served a subscriber base of 52.6 million customers. The company is headquartered in Rio de Janeiro, Brazil. TIM S.A. is a subsidiary of TIM Brasil Servicos e Participacoes S.A."
554,PRTG,Portage Biotech Inc.,Healthcare,Biotechnology,Canada,84080000.0,,4.55,0.0179,84227.0,"['New Low', 'Most Volatile']",2,"Portage Biotech Inc., together with its subsidiaries, researches and develops pharmaceutical and biotechnology products. The company's product includes IMM60, an iNKT cell activator; IMM65, a PLGA-nanoparticle combined with a NY-ESO-1 peptide vaccine; TT-10, an adenosine receptor type 2A (A2A) inhibitor to treat A2A expressing solid tumors; TT-4, an adenosine receptor type 2B (A2B) inhibitor to treat solid tumors; TT-53, an A2A/A2B inhibitor to treat solid tumors; TT-3, an A2B inhibitor to treat colorectal and gastrointestinal cancers; and NT230-6 that is in Phase I/II clinical trials for the treatment of tumors. It also provides Nanolipogel (NLG) co-formulation platform for delivery of DNA aptamers and certain aptamer-small molecule-based combination products; and STING agonist platform, a proprietary immune priming and boosting technology, offers various ways to target immune stimulation towards the cancer, as well as to co-deliver various signals in a single product. The company is based in Tortola, British Virgin Islands."
555,PIII,P3 Health Partners Inc.,Healthcare,Medical Care Facilities,USA,314060000.0,,1.25,0.0163,637439.0,New Low,1,"P3 Health Partners Inc., a patient-centered and physician-led population health management company, provides superior care services in the United States. It operates clinics and wellness centers. P3 Health Partners Inc. is based in Henderson, Nevada."
